mode,physical_gpu,step,layer,source,gpu_start_ns,gpu_end_ns,gpu_span_ms,metric_instance,forward_transfer_interior_ms,reverse_transfer_interior_ms,forward_compute_overlap_ms,reverse_compute_overlap_ms,method,forward_remote_payload_bytes,reverse_remote_payload_bytes,forward_effective_send_gb_s,reverse_effective_send_gb_s
bf16-base,7,3,0,/lustre/raplab/client/sylarl/minimax-h3-native/experiments/h3-ulysses-overlap-20260910/runs/bf16-base-nsys/bf16-base-warmed.sqlite,12981551853,13023447873,41.89602,5,9.511909,3.249537,0.0,0.0,"200 fine kernels per GPU, exactly 50 within NVTX minimax_h3.denoise.step_03; select its first layer (layer0). QKV=last6 preceding barriers; O=next2/8 barriers. Optimized endpoint from containing NVTX and correlated GPU kernels/copies, including final output assembly; baseline endpoint from first GEMM after final O barrier, inferred out_proj from model source order. RDMA windows are barrier interiors; percentages are raw individual GPU Metrics samples, not interval averages. Compute overlap counts kernels only. Profiling timings are not unprofiled latency claims.",451282944,153814528,47.443992998671455,47.33429039275441
bf16-overlap,7,3,0,/lustre/raplab/client/sylarl/minimax-h3-native/experiments/h3-ulysses-overlap-20260910/runs/bf16-overlap-nsys/bf16-overlap-warmed.sqlite,12951217127,12988575575,37.358448,5,9.645796,4.439683,2.795297,3.54589,"200 fine kernels per GPU, exactly 50 within NVTX minimax_h3.denoise.step_03; select its first layer (layer0). QKV=last6 preceding barriers; O=next2/8 barriers. Optimized endpoint from containing NVTX and correlated GPU kernels/copies, including final output assembly; baseline endpoint from first GEMM after final O barrier, inferred out_proj from model source order. RDMA windows are barrier interiors; percentages are raw individual GPU Metrics samples, not interval averages. Compute overlap counts kernels only. Profiling timings are not unprofiled latency claims.",451282944,163975168,46.7854538910008,36.93398109729907
fp8-base,7,3,0,/lustre/raplab/client/sylarl/minimax-h3-native/experiments/h3-ulysses-overlap-20260910/runs/fp8-base-nsys/fp8-base-warmed.sqlite,10508302729,10548631076,40.328347,5,9.513663,3.245663,0.0,0.0,"200 fine kernels per GPU, exactly 50 within NVTX minimax_h3.denoise.step_03; select its first layer (layer0). QKV=last6 preceding barriers; O=next2/8 barriers. Optimized endpoint from containing NVTX and correlated GPU kernels/copies, including final output assembly; baseline endpoint from first GEMM after final O barrier, inferred out_proj from model source order. RDMA windows are barrier interiors; percentages are raw individual GPU Metrics samples, not interval averages. Compute overlap counts kernels only. Profiling timings are not unprofiled latency claims.",451282944,153814528,47.43524591947392,47.39078826113494
fp8-overlap,7,3,0,/lustre/raplab/client/sylarl/minimax-h3-native/experiments/h3-ulysses-overlap-20260910/runs/fp8-overlap-nsys/fp8-overlap-warmed.sqlite,10529482172,10566715800,37.233628,5,9.609951,3.540064,2.702176,0.817312,"200 fine kernels per GPU, exactly 50 within NVTX minimax_h3.denoise.step_03; select its first layer (layer0). QKV=last6 preceding barriers; O=next2/8 barriers. Optimized endpoint from containing NVTX and correlated GPU kernels/copies, including final output assembly; baseline endpoint from first GEMM after final O barrier, inferred out_proj from model source order. RDMA windows are barrier interiors; percentages are raw individual GPU Metrics samples, not interval averages. Compute overlap counts kernels only. Profiling timings are not unprofiled latency claims.",451282944,163975168,46.959963063287205,46.31983150587108
