case,mode,topology,dp,sp,engine_lifecycles,wave_samples,request_samples,measured_videos,mean_wave_s,wave_p50_s,wave_p95_s,wave_min_s,wave_max_s,wave_cv_pct,request_p50_s,request_p95_s,sustained_videos_per_hour,lifecycle_peak_memory_gib,measured_peak_memory_gib,mean_node_power_w,peak_node_power_w,energy_wh_per_video,telemetry_coverage_pct,mean_sm_clock_mhz,mean_gpu_util_pct,max_temperature_c,status,shape_ok,fatal_error
allgather-dp1-sp8-t2va-50step-n20,allgather,dp1-sp8,1,8,2,20,20,20,34.669439355446954,34.553416537470184,35.25245706331916,34.16365527105518,36.21506123198196,1.3798904664862208,34.43105830694549,35.141176707076376,103.83784874889821,26.365234375,26.365234375,7069.559229830329,8535.58,68.08272440027358,100.0,1821.499615050965,90.40346996313164,74.0,passed,True,False
allgather-dp4-sp2-t2va-50step-n20,allgather,dp4-sp2,4,2,2,20,80,80,94.80295536004705,94.72865000448655,95.30612910840428,94.15086788102053,95.39917947002687,0.3459079436090338,94.35054075403605,94.92447212070692,151.89399892979088,25.107421875,25.107421875,7870.185761523024,8719.47,51.75644020222868,99.88951428485835,1615.3053389359984,93.90196124823339,78.0,passed,True,False
ranklocal-dp8-sp1-t2va-50step-n20,ranklocal,dp8-sp1,8,1,2,20,160,160,156.70895906535443,156.74228433542885,157.0282817220781,156.29264628794044,157.2165887071751,0.1527385373769954,155.9675515484996,156.22881248188204,183.78017550348957,20.0546875,20.0546875,8080.259023153472,8780.83,43.96698965041099,100.0,1520.5975722862177,94.54279822310534,78.0,passed,True,False
