stage,bf16_s,sage_s,delta_s,latency_reduction_percent,speedup,bf16_share_percent,sage_share_percent,share_delta_percentage_points
Encoder,0.080625,0.081013,0.00038799999999999946,-0.4812403100775187,0.9952106452050905,0.2963936475259172,0.3124416676308381,0.0160480201049209
DiT,20.527692,19.115817,-1.4118749999999984,6.877904247589054,1.07385899331428,75.46390706565693,73.72369547610784,-1.7402115895490908
Decode total,6.511528,6.645845,0.13431699999999935,-2.0627570057289066,0.9797893270156016,23.937681052863763,25.63093447491226,1.693253422048496
Outside encoder/DiT/decode,0.08215500000000375,0.08632499999999865,0.0041699999999949,-5.075771407698508,0.9516941789748629,0.30201823395339955,0.33292838134906344,0.03091014739566389
