physical_gpu,phase,bf16_s,sage_s,delta_s,latency_reduction_percent,speedup,bf16_share_percent,sage_share_percent,share_delta_percentage_points
7,linear_gemm,2.669587514,2.669673483,8.596900000013008e-05,-0.0032203102370417396,0.999967797934636,53.301603133516075,57.7599272287874,4.458324095271323
7,vsa,1.319705387,0.798687307,-0.5210180799999999,39.47987824649229,1.6523430076246346,26.34954367374871,17.28006103541771,-9.069482638331
7,rdma_barrier,0.006372387,0.004187649999999999,-0.002184737000000001,34.28443689939109,1.5217095507026617,0.12723255600572048,0.09060222562791644,-0.03663033037780404
7,rdma_other,0.0,0.0,0.0,,,0.0,0.0,0.0
7,pointwise,0.075729355,0.075533118,-0.00019623700000000188,0.25912936931788455,1.0025980259414156,1.512029856522303,1.6342026194682069,0.12217276294590396
7,attention_other,1.8432e-05,1.84e-05,-3.1999999999999016e-08,0.17361111111110578,1.0017391304347825,0.0003680175846660662,0.00039809462384718456,3.0077039181118355e-05
7,communication_other,0.001507233,0.001497857,-9.375999999999959e-06,0.6220670593066872,1.0062596095621945,0.030093763465114422,0.032407001032166975,0.0023132375670525535
7,layout_copy,0.127117874,0.20807545200000002,0.08095757800000003,-63.6870138341049,0.6109220130397697,2.5380649390931715,4.501832543248527,1.9637676041553558
7,memory_ops,0.008508168,0.008505827,-2.3409999999994546e-06,0.027514736427389008,1.000275223091182,0.1698760545406421,0.18402847826490362,0.01415242372426151
7,other,0.14389247,0.14479358,0.0009011100000000105,-0.6262384682117212,0.9937765887133946,2.872990411297439,3.13269270465148,0.25970229335404094
7,concurrent_mixed,0.0,0.0,0.0,,,0.0,0.0,0.0
7,idle,0.656017506,0.65700188,0.0009843740000000656,-0.15005300788422338,0.998501718138158,13.098197594226162,14.21461501551593,1.1164174212897677
7,sage_quantization,0.0,0.054042147,0.054042147,,0.0,0.0,1.169233053361916,1.169233053361916
