component,bf16_s,sage_s,delta_s,latency_reduction_percent,speedup
Video VAE path (within decode),6.01749,6.034204,0.01671400000000034,-0.27775700499710576,0.9972301234761038
Audio VAE (within decode),0.129008,0.128814,-0.00019399999999999973,0.1503782711149694,1.0015060474793112
