physical_gpu,phase,bf16_s,sage_s,delta_s,latency_reduction_percent,speedup,bf16_share_percent,sage_share_percent,share_delta_percentage_points
0,linear_gemm,2.545901245,2.5121478440000002,-0.033753400999999794,1.3257938054859546,1.013436072674073,50.83205441532286,54.35176907639651,3.5197146610736496
0,vsa,1.105784484,0.6565175010000001,-0.4492669829999999,40.62880149799605,1.6843183651855151,22.07834933609442,14.20413519617873,-7.87421413991569
0,rdma_barrier,0.36133439399999995,0.327130826,-0.03420356799999996,9.465904316874957,1.1045562364703594,7.214486270434936,7.077664300287434,-0.1368219701475013
0,rdma_other,0.0,0.0,0.0,,,0.0,0.0,0.0
0,pointwise,0.07530449,0.075251394,-5.3096000000002475e-05,0.07050841191541497,1.0007055816135446,1.5035469034456346,1.6281073580655587,0.12456045461992415
0,attention_other,1.5968e-05,1.5872e-05,-9.600000000000044e-08,0.601202404809622,1.0060483870967742,0.0003188207894936928,0.0003433998842229627,2.457909472926989e-05
0,communication_other,0.003006243,0.003585604,0.000579361,-19.27192845022841,0.8384202494196236,0.06002334460608013,0.07757661280679133,0.0175532682007112
0,layout_copy,0.12182903299999999,0.19673153,0.074902497,-61.48164781050179,0.6192654171906252,2.4324667136969658,4.256400240990821,1.8239335272938555
0,memory_ops,0.009103435,0.009086277,-1.7157999999999757e-05,0.18847830516722267,1.0018883421669844,0.18176129344968156,0.19658684915686547,0.014825555707183913
0,other,0.130225497,0.13134417199999998,0.0011186749999999857,-0.8590291653868564,0.9914828729515308,2.6001124602798424,2.841706997111952,0.24159453683210952
0,concurrent_mixed,0.0,0.0,0.0,,,0.0,0.0,0.0
0,idle,0.6559515370000001,0.65756821,0.0016166729999999019,-0.24646226265339197,0.9975414368039478,13.096880441880087,14.226867892055242,1.1299874501751557
0,sage_quantization,0.0,0.052637471,0.052637471,,0.0,0.0,1.1388420770658743,1.1388420770658743
1,linear_gemm,2.4907276769999998,2.473278859,-0.017448817999999644,0.7005510141123166,1.0070549335496501,49.73044616701725,53.51081614363037,3.780369976613123
1,vsa,1.091160381,0.657394865,-0.4337655159999999,39.75268196619026,1.6598249227273778,21.786361105627417,14.223117472893787,-7.563243632733631
1,rdma_barrier,0.42986634500000004,0.36411188,-0.06575446500000004,15.296490587091675,1.1805886284182763,8.582811090284828,7.877770755809305,-0.7050403344755232
1,rdma_other,0.0,0.0,0.0,,,0.0,0.0,0.0
1,pointwise,0.07508609599999999,0.075131749,4.5653000000006605e-05,-0.06080087051004304,0.9993923607448563,1.4991863982163833,1.6255187694095699,0.12633237119318652
1,attention_other,1.5488e-05,1.568e-05,1.9199999999999748e-07,-1.239669421487587,0.9877551020408165,0.0003092369982263473,0.00033924585336542683,3.0008855139079544e-05
1,communication_other,0.003514791,0.003788583,0.0002737919999999997,-7.7897092600954,0.9277323474238258,0.07017713185905097,0.08196818066841512,0.011791048809364144
1,layout_copy,0.12314914299999999,0.198093881,0.07494473800000001,-60.85688960092887,0.6216706057669696,2.4588243359676647,4.285875491474127,1.8270511555064624
1,memory_ops,0.008927279,0.008947565000000001,2.0286000000001303e-05,-0.227236092878931,0.9977327909883861,0.17824412191949301,0.1935857349469149,0.015341613027421874
1,other,0.12997603100000002,0.13105242,0.0010763889999999832,-0.8281442291463593,0.9917865766996139,2.595131564295885,2.835394774139307,0.24026320984342187
1,concurrent_mixed,0.0,0.0,0.0,,,0.0,0.0,0.0
1,idle,0.656033095,0.657534049,0.0015009540000000543,-0.22879242090676147,0.9977172984390956,13.0985088478138,14.226128799096262,1.1276199512824618
1,sage_quantization,0.0,0.05266717,0.05266717,,0.0,0.0,1.1394846320785719,1.1394846320785719
2,linear_gemm,2.490807177,2.478524757,-0.012282420000000016,0.4931100292875065,1.0049555365405616,49.73203348244591,53.624314175752694,3.8922806933067875
2,vsa,1.0892338769999999,0.656217147,-0.43301672999999985,39.75424737914206,1.6598680512687058,21.747896080186365,14.197636863969436,-7.550259216216929
2,rdma_barrier,0.423179784,0.36207781899999997,-0.061101965000000036,14.43877219805945,1.1687536816498556,8.449305663367383,7.833762671642064,-0.6155429917253192
2,rdma_other,0.0,0.0,0.0,,,0.0,0.0,0.0
2,pointwise,0.075327249,0.075215683,-0.0001115659999999935,0.14810842222579176,1.0014832810864722,1.5040013149153295,1.6273347299616345,0.12333341504630502
2,attention_other,1.5456e-05,1.6096e-05,6.400000000000006e-07,-4.140786749482406,0.9602385685884691,0.0003085980788085243,0.0003482462535567545,3.964817474823019e-05
2,communication_other,0.003387689,0.0037593369999999997,0.0003716479999999996,-10.970546587954194,0.901140014848363,0.0676393838639215,0.08133542657227193,0.013696042708350425
2,layout_copy,0.123400488,0.19858942300000001,0.07518893500000001,-60.93082468198992,0.6213849969240305,2.463842748501188,4.296596828761653,1.8327540802604654
2,memory_ops,0.008988058,0.009014347,2.628900000000052e-05,-0.2924880992089784,0.9970836489875528,0.17945764952248883,0.19503060207570636,0.015572952553217528
2,other,0.130097344,0.131189724,0.001092380000000004,-0.8396635676128822,0.991673280751776,2.5975537277750838,2.838365425456302,0.24081169768121846
2,concurrent_mixed,0.0,0.0,0.0,,,0.0,0.0,0.0
2,idle,0.6640192039999999,0.6547996070000001,-0.009219596999999857,1.3884533676830013,1.0140800283039875,13.257961351343528,14.16696756760594,0.9090062162624122
2,sage_quantization,0.0,0.052612761,0.052612761,,0.0,0.0,1.1383074619487403,1.1383074619487403
3,linear_gemm,2.6142934220000003,2.5756488060000002,-0.03864461600000002,1.4782049969905795,1.0150038374447545,52.19758847508816,55.7256490536424,3.528060578554239
3,vsa,1.1357141240000002,0.657766454,-0.47794767000000016,42.083448633769045,1.7266221423934158,22.675931466233575,14.231157015457958,-8.444774450775617
3,rdma_barrier,0.26128099400000004,0.257489237,-0.003791757000000062,1.4512180706110072,1.0147258854163292,5.2167968929594695,5.570928312402911,0.3541314194434415
3,rdma_other,0.0,0.0,0.0,,,0.0,0.0,0.0
3,pointwise,0.075254818,0.075212085,-4.273300000000313e-05,0.056784404156027764,1.0005681666716193,1.5025551407793187,1.6272568851542106,0.1247017443748919
3,attention_other,1.5616e-05,1.552e-05,-9.600000000000044e-08,0.6147540983606585,1.0061855670103093,0.0003117926758976394,0.000335784160984147,2.399148508650759e-05
3,communication_other,0.001849888,0.002352928,0.0005030399999999997,-27.192997630126783,0.7862068027580955,0.036935292624931636,0.05090695582062545,0.013971663195693818
3,layout_copy,0.123862659,0.198668646,0.074805987,-60.39430091679205,0.6234635484453848,2.4730705618216464,4.298310864108667,1.8252403022870207
3,memory_ops,0.007909217,0.007869822,-3.939499999999936e-05,0.49808976033910013,1.0050058311356977,0.15791726003362577,0.17026814287142922,0.012350882837803445
3,other,0.130746073,0.131411819,0.0006657460000000226,-0.5091900542206133,0.9949338955577502,2.6105064013689874,2.8431705790151796,0.23266417764619218
