physical_gpu,rank,bin_start_s,bin_end_s,mean_sm_active_percent,mean_gpc_clock_mhz
0,0,11.8,11.9,89.72,2376.1350129999996
0,0,11.9,12.0,81.37,2396.493484
0,0,12.0,12.1,90.58,2379.308156
0,0,12.1,12.2,88.15,2348.3996150000003
0,0,12.2,12.3,82.72,2416.632699
0,0,12.3,12.4,89.37,2367.3939729999997
0,0,12.4,12.5,81.03,2399.7441000000003
0,0,12.5,12.6,90.72,2381.129469
0,0,12.6,12.7,87.86,2347.1281919999997
0,0,12.7,12.8,83.12,2420.4610420000004
0,0,12.8,12.9,89.04,2359.444306
0,0,12.9,13.0,81.16,2405.450258
0,0,13.0,13.1,90.24,2381.6467189999994
0,0,13.1,13.2,81.47,2369.492428
0,0,13.2,13.3,89.95,2399.437989
0,0,13.3,13.4,88.53,2353.955186
0,0,13.4,13.5,79.92,2416.557938
0,0,13.5,13.6,89.75,2386.4026029999995
0,0,13.6,13.7,81.3,2392.803922
0,0,13.7,13.8,90.66,2379.109485
0,0,13.8,13.843227,67.53488372093024,2450.150069767442
1,2,0.0,0.1,20.581632653061224,2524.37160072449
1,2,0.1,0.2,0.013157894736842105,2502.2335207499996
1,2,0.2,0.3,49.93478260869565,2441.4569379891304
1,2,0.3,0.4,89.93,2297.170472
1,2,0.4,0.5,88.7,2222.1475089999994
1,2,0.5,0.6,91.73,2196.7676640000004
1,2,0.6,0.7,89.7,2183.8576550000002
1,2,0.7,0.8,90.51,2170.908131
1,2,0.8,0.9,90.17,2184.094553
1,2,0.9,1.0,89.27,2184.9022790000004
1,2,1.0,1.1,89.48,2193.899875
1,2,1.1,1.2,89.67,2181.989478
1,2,1.2,1.3,92.53,2161.4743350000003
1,2,1.3,1.4,89.45,2170.894597
1,2,1.4,1.5,90.31,2156.5576140000003
1,2,1.5,1.6,90.49,2178.740696
1,2,1.6,1.7,89.5,2180.611471
1,2,1.7,1.8,89.64,2180.7648209999998
1,2,1.8,1.9,91.42,2161.216887
1,2,1.9,2.0,91.22,2149.6988770000003
1,2,2.0,2.1,89.71,2152.9038570000002
1,2,2.1,2.2,91.51,2150.293759
1,2,2.2,2.3,89.67,2172.877981
1,2,2.3,2.4,89.6,2172.1642269999998
1,2,2.4,2.5,90.23,2165.036991
1,2,2.5,2.6,92.54,2150.7085810000003
1,2,2.6,2.7,89.57,2163.4326640000004
1,2,2.7,2.8,90.75,2150.48782
1,2,2.8,2.9,90.31,2177.4819340000004
1,2,2.9,3.0,84.75,2236.34512
1,2,3.0,3.1,91.99,2187.756335
1,2,3.1,3.2,89.48,2177.271389
1,2,3.2,3.3,90.58,2158.6007919999997
1,2,3.3,3.4,90.31,2180.690928
1,2,3.4,3.5,89.51,2178.034625
1,2,3.5,3.6,89.65,2184.7904559999997
1,2,3.6,3.7,90.65,2171.096266
