2026/08/07 23:38:34.316, 0, 104046, 99
2026/08/07 23:38:34.354, 1, 56340, 99
2026/08/07 23:38:34.357, 2, 0, 0
2026/08/07 23:38:34.360, 3, 0, 0
2026/08/07 23:38:34.362, 4, 0, 0
2026/08/07 23:38:34.365, 5, 0, 0
2026/08/07 23:38:34.366, 6, 0, 0
2026/08/07 23:38:34.368, 7, 0, 0
2026/08/07 23:38:34.747, 0, 104046, 99
2026/08/07 23:38:34.749, 1, 56340, 99
2026/08/07 23:38:34.751, 2, 0, 0
2026/08/07 23:38:34.754, 3, 0, 0
2026/08/07 23:38:34.757, 4, 0, 0
2026/08/07 23:38:34.759, 5, 0, 0
2026/08/07 23:38:34.761, 6, 0, 0
2026/08/07 23:38:34.766, 7, 0, 0
2026/08/07 23:38:35.142, 0, 104046, 99
2026/08/07 23:38:35.143, 1, 56340, 99
2026/08/07 23:38:35.145, 2, 0, 0
2026/08/07 23:38:35.146, 3, 0, 0
2026/08/07 23:38:35.150, 4, 0, 0
2026/08/07 23:38:35.151, 5, 0, 0
2026/08/07 23:38:35.153, 6, 0, 0
2026/08/07 23:38:35.155, 7, 0, 0
2026/08/07 23:38:35.546, 0, 104046, 99
2026/08/07 23:38:35.548, 1, 56340, 99
2026/08/07 23:38:35.550, 2, 0, 0
2026/08/07 23:38:35.552, 3, 0, 0
2026/08/07 23:38:35.556, 4, 0, 0
2026/08/07 23:38:35.559, 5, 0, 0
2026/08/07 23:38:35.561, 6, 0, 0
2026/08/07 23:38:35.563, 7, 0, 0
2026/08/07 23:38:35.931, 0, 104046, 99
2026/08/07 23:38:35.934, 1, 56340, 99
2026/08/07 23:38:35.938, 2, 0, 0
2026/08/07 23:38:35.941, 3, 0, 0
2026/08/07 23:38:35.944, 4, 0, 0
2026/08/07 23:38:35.945, 5, 0, 0
2026/08/07 23:38:35.949, 6, 0, 0
2026/08/07 23:38:35.952, 7, 0, 0
2026/08/07 23:38:36.309, 0, 104046, 99
2026/08/07 23:38:36.311, 1, 56340, 99
2026/08/07 23:38:36.314, 2, 0, 0
2026/08/07 23:38:36.316, 3, 0, 0
2026/08/07 23:38:36.319, 4, 0, 0
2026/08/07 23:38:36.321, 5, 0, 0
2026/08/07 23:38:36.324, 6, 0, 0
2026/08/07 23:38:36.326, 7, 0, 0
2026/08/07 23:38:36.688, 0, 104046, 99
2026/08/07 23:38:36.690, 1, 56340, 99
2026/08/07 23:38:36.691, 2, 0, 0
2026/08/07 23:38:36.693, 3, 0, 0
2026/08/07 23:38:36.696, 4, 0, 0
2026/08/07 23:38:36.699, 5, 0, 0
2026/08/07 23:38:36.703, 6, 0, 0
2026/08/07 23:38:36.705, 7, 0, 0
2026/08/07 23:38:37.069, 0, 104046, 99
2026/08/07 23:38:37.072, 1, 56340, 99
2026/08/07 23:38:37.074, 2, 0, 0
2026/08/07 23:38:37.077, 3, 0, 0
2026/08/07 23:38:37.079, 4, 0, 0
2026/08/07 23:38:37.081, 5, 0, 0
2026/08/07 23:38:37.083, 6, 0, 0
2026/08/07 23:38:37.084, 7, 0, 0
2026/08/07 23:38:37.486, 0, 104046, 99
2026/08/07 23:38:37.495, 1, 56340, 99
2026/08/07 23:38:37.499, 2, 0, 0
2026/08/07 23:38:37.503, 3, 0, 0
2026/08/07 23:38:37.507, 4, 0, 0
2026/08/07 23:38:37.513, 5, 0, 0
2026/08/07 23:38:37.515, 6, 0, 0
2026/08/07 23:38:37.518, 7, 0, 0
2026/08/07 23:38:37.880, 0, 104046, 99
2026/08/07 23:38:37.884, 1, 56340, 99
2026/08/07 23:38:37.887, 2, 0, 0
2026/08/07 23:38:37.890, 3, 0, 0
2026/08/07 23:38:37.892, 4, 0, 0
2026/08/07 23:38:37.895, 5, 0, 0
2026/08/07 23:38:37.900, 6, 0, 0
2026/08/07 23:38:37.904, 7, 0, 0
2026/08/07 23:38:38.251, 0, 104046, 99
2026/08/07 23:38:38.253, 1, 56340, 99
2026/08/07 23:38:38.256, 2, 0, 0
2026/08/07 23:38:38.258, 3, 0, 0
2026/08/07 23:38:38.260, 4, 0, 0
2026/08/07 23:38:38.263, 5, 0, 0
2026/08/07 23:38:38.265, 6, 0, 0
2026/08/07 23:38:38.269, 7, 0, 0
2026/08/07 23:38:38.621, 0, 104046, 99
2026/08/07 23:38:38.624, 1, 56340, 99
2026/08/07 23:38:38.627, 2, 0, 0
2026/08/07 23:38:38.630, 3, 0, 0
2026/08/07 23:38:38.632, 4, 0, 0
2026/08/07 23:38:38.634, 5, 0, 0
2026/08/07 23:38:38.636, 6, 0, 0
2026/08/07 23:38:38.638, 7, 0, 0
2026/08/07 23:38:38.999, 0, 104046, 99
2026/08/07 23:38:39.001, 1, 56340, 99
2026/08/07 23:38:39.003, 2, 0, 0
2026/08/07 23:38:39.006, 3, 0, 0
2026/08/07 23:38:39.008, 4, 0, 0
2026/08/07 23:38:39.010, 5, 0, 0
2026/08/07 23:38:39.012, 6, 0, 0
2026/08/07 23:38:39.014, 7, 0, 0
2026/08/07 23:38:39.372, 0, 104046, 98
2026/08/07 23:38:39.377, 1, 56340, 99
2026/08/07 23:38:39.379, 2, 0, 0
