color_space,frame_index,time_s,psnr_db,ssim,mse
rgb,116,4.833333333333333,15.33,0.474491,1906.17
rgb,117,4.875,15.25,0.464954,1941.92
rgb,118,4.916666666666667,15.09,0.448925,2012.46
rgb,119,4.958333333333333,14.97,0.4305,2071.26
rgb,120,5.0,14.73,0.406281,2187.82
rgb,121,5.041666666666667,14.65,0.394182,2230.2
rgb,122,5.083333333333333,14.6,0.390279,2252.65
rgb,123,5.125,14.58,0.38637,2263.47
rgb,124,5.166666666666667,14.52,0.374632,2298.43
rgb,125,5.208333333333333,14.47,0.370878,2325.08
rgb,126,5.25,14.43,0.368914,2345.4
rgb,127,5.291666666666667,14.42,0.367473,2350.9
rgb,128,5.333333333333333,14.42,0.366633,2348.12
rgb,129,5.375,14.42,0.366616,2348.61
rgb,130,5.416666666666667,14.43,0.366304,2343.67
rgb,131,5.458333333333333,14.44,0.365216,2341.27
rgb,132,5.5,14.42,0.363628,2352.17
rgb,133,5.541666666666667,14.39,0.362451,2366.74
rgb,134,5.583333333333333,14.35,0.359861,2387.11
rgb,135,5.625,14.33,0.357607,2397.07
rgb,136,5.666666666666667,14.29,0.35204,2418.73
rgb,137,5.708333333333333,14.31,0.353408,2410.79
rgb,138,5.75,14.28,0.351104,2426.15
rgb,139,5.791666666666667,14.31,0.350921,2411.25
rgb,140,5.833333333333333,14.36,0.34884,2384.38
rgb,141,5.875,14.41,0.348141,2357.69
rgb,142,5.916666666666667,14.51,0.350194,2301.67
rgb,143,5.958333333333333,14.56,0.352249,2272.98
rgb,144,6.0,14.58,0.352818,2263.06
rgb,145,6.041666666666667,14.62,0.354977,2245.37
rgb,146,6.083333333333333,14.64,0.355237,2233.1
rgb,147,6.125,14.67,0.355369,2217.69
rgb,148,6.166666666666667,14.7,0.354792,2203.39
rgb,149,6.208333333333333,14.74,0.356078,2181.82
rgb,150,6.25,14.78,0.355848,2165.04
rgb,151,6.291666666666667,14.78,0.355895,2161.39
rgb,152,6.333333333333333,14.79,0.3581,2159.38
rgb,153,6.375,14.81,0.360956,2147.41
rgb,154,6.416666666666667,14.83,0.362496,2140.64
rgb,155,6.458333333333333,14.85,0.364752,2130.76
rgb,156,6.5,14.88,0.366112,2112.17
rgb,157,6.541666666666667,14.89,0.366597,2106.94
rgb,158,6.583333333333333,14.89,0.364256,2111.26
rgb,159,6.625,14.89,0.364404,2107.84
rgb,160,6.666666666666667,14.93,0.367057,2091.96
rgb,161,6.708333333333333,14.94,0.368041,2084.23
rgb,162,6.75,14.99,0.370687,2062.72
rgb,163,6.791666666666667,15.01,0.372585,2051.46
rgb,164,6.833333333333333,15.05,0.375274,2033.18
rgb,165,6.875,15.1,0.379702,2010.45
rgb,166,6.916666666666667,15.18,0.387616,1972.63
rgb,167,6.958333333333333,15.22,0.392558,1953.79
rgb,168,7.0,15.28,0.398758,1927.68
rgb,169,7.041666666666667,15.35,0.405675,1898.1
rgb,170,7.083333333333333,15.42,0.416242,1865.23
rgb,171,7.125,15.42,0.420698,1868.41
rgb,172,7.166666666666667,15.44,0.42515,1858.85
rgb,173,7.208333333333333,15.49,0.430166,1838.45
rgb,174,7.25,15.55,0.436751,1810.11
rgb,175,7.291666666666667,15.59,0.443766,1794.06
rgb,176,7.333333333333333,15.62,0.447167,1781.35
rgb,177,7.375,15.71,0.453078,1747.77
rgb,178,7.416666666666667,15.78,0.459169,1717.43
rgb,179,7.458333333333333,15.83,0.467233,1698.47
rgb,180,7.5,15.89,0.473304,1675.91
rgb,181,7.541666666666667,15.98,0.480185,1640.3
rgb,182,7.583333333333333,16.04,0.4886,1616.88
rgb,183,7.625,16.05,0.496473,1614.1
rgb,184,7.666666666666667,16.05,0.500029,1614.11
rgb,185,7.708333333333333,16.08,0.503932,1602.48
rgb,186,7.75,16.09,0.506271,1598.05
rgb,187,7.791666666666667,16.13,0.512019,1583.54
rgb,188,7.833333333333333,16.08,0.509642,1602.51
rgb,189,7.875,16.05,0.510909,1614.47
rgb,190,7.916666666666667,16.06,0.513372,1609.83
rgb,191,7.958333333333333,16.07,0.516871,1607.04
rgb,192,8.0,16.09,0.520759,1601.15
rgb,193,8.041666666666666,16.09,0.522123,1601.39
rgb,194,8.083333333333334,16.07,0.520406,1607.52
rgb,195,8.125,16.07,0.521401,1605.91
rgb,196,8.166666666666666,16.11,0.523503,1591.61
rgb,197,8.208333333333334,16.12,0.524379,1588.6
rgb,198,8.25,16.12,0.52324,1590.56
rgb,199,8.291666666666666,16.11,0.523362,1593.06
rgb,200,8.333333333333334,16.14,0.522181,1581.95
rgb,201,8.375,16.17,0.523434,1571.97
rgb,202,8.416666666666666,16.15,0.522509,1578.85
rgb,203,8.458333333333334,16.18,0.523081,1567.79
rgb,204,8.5,16.23,0.524564,1549.82
rgb,205,8.541666666666666,16.37,0.529351,1499.72
rgb,206,8.583333333333334,16.09,0.52244,1598.26
rgb,207,8.625,16.13,0.523141,1586.07
rgb,208,8.666666666666666,16.03,0.519297,1621.24
rgb,209,8.708333333333334,16.01,0.519345,1629.21
rgb,210,8.75,15.89,0.515786,1675.01
rgb,211,8.791666666666666,15.88,0.515446,1678.12
rgb,212,8.833333333333334,15.81,0.512756,1708.15
rgb,213,8.875,15.81,0.512369,1708.22
rgb,214,8.916666666666666,15.73,0.508796,1737.34
rgb,215,8.958333333333334,15.72,0.507809,1744.02
rgb,216,9.0,15.64,0.503066,1776.23
rgb,217,9.041666666666666,15.62,0.501355,1782.67
rgb,218,9.083333333333334,15.56,0.497641,1809.1
rgb,219,9.125,15.53,0.495122,1821.05
rgb,220,9.166666666666666,15.52,0.491717,1823.83
rgb,221,9.208333333333334,15.54,0.490165,1816.01
rgb,222,9.25,15.48,0.48691,1840.27
rgb,223,9.291666666666666,15.39,0.483181,1878.83
rgb,224,9.333333333333334,15.28,0.478004,1929.38
rgb,225,9.375,15.24,0.476721,1944.59
rgb,226,9.416666666666666,15.2,0.474087,1964.91
rgb,227,9.458333333333334,15.17,0.47304,1978.41
rgb,228,9.5,15.13,0.470453,1994.68
rgb,229,9.541666666666666,15.12,0.470147,1998.47
rgb,230,9.583333333333334,15.12,0.468353,2000.84
rgb,231,9.625,15.08,0.468048,2018.64
rgb,232,9.666666666666666,14.84,0.461465,2134.31
rgb,233,9.708333333333334,14.91,0.461509,2099.24
rgb,234,9.75,14.96,0.459853,2076.75
rgb,235,9.791666666666666,14.88,0.457644,2113.53
rgb,236,9.833333333333334,14.75,0.455563,2179.54
rgb,237,9.875,14.76,0.456743,2170.89
rgb,238,9.916666666666666,14.91,0.459365,2100.31
rgb,239,9.958333333333334,14.94,0.462314,2087.14
rgb,240,10.0,14.98,0.464689,2067.63
rgb,241,10.041666666666666,15.01,0.46611,2052.81
rgb,242,10.083333333333334,15.04,0.468077,2038.84
rgb,243,10.125,15.06,0.469109,2027.91
rgb,244,10.166666666666666,15.09,0.472088,2014.12
rgb,245,10.208333333333334,15.14,0.473804,1992.79
rgb,246,10.25,15.18,0.477527,1970.54
rgb,247,10.291666666666666,15.26,0.480565,1937.92
rgb,248,10.333333333333334,15.31,0.483087,1916.74
rgb,249,10.375,15.34,0.485401,1899.47
rgb,250,10.416666666666666,15.43,0.506282,1860.76
rgb,251,10.458333333333334,15.49,0.50777,1836.12
rgb,252,10.5,15.53,0.51061,1820.26
rgb,253,10.541666666666666,15.58,0.512829,1798.2
rgb,254,10.583333333333334,15.63,0.515043,1778.08
rgb,255,10.625,15.71,0.517721,1745.39
rgb,256,10.666666666666666,15.78,0.520922,1717.41
rgb,257,10.708333333333334,15.8,0.521993,1712.3
rgb,258,10.75,15.81,0.523254,1706.13
rgb,259,10.791666666666666,15.8,0.520217,1712.18
rgb,260,10.833333333333334,15.73,0.510581,1738.94
rgb,261,10.875,15.67,0.50473,1761.9
rgb,262,10.916666666666666,15.62,0.497832,1781.73
rgb,263,10.958333333333334,15.54,0.488923,1817.12
