color_space,frame_index,time_s,psnr_db,ssim,mse
yuv,160,6.666666666666667,20.84,0.742435,536.14
yuv,161,6.708333333333333,20.85,0.742985,534.3
yuv,162,6.75,20.9,0.744602,528.91
yuv,163,6.791666666666667,20.92,0.745591,526.03
yuv,164,6.833333333333333,20.96,0.746708,521.68
yuv,165,6.875,21.0,0.748805,516.16
yuv,166,6.916666666666667,21.08,0.752478,507.15
yuv,167,6.958333333333333,21.12,0.754148,502.6
yuv,168,7.0,21.17,0.756764,496.47
yuv,169,7.041666666666667,21.24,0.759019,489.28
yuv,170,7.083333333333333,21.3,0.762782,481.82
yuv,171,7.125,21.29,0.764302,482.62
yuv,172,7.166666666666667,21.32,0.765951,480.2
yuv,173,7.208333333333333,21.37,0.767936,474.76
yuv,174,7.25,21.43,0.770297,467.41
yuv,175,7.291666666666667,21.47,0.773399,463.09
yuv,176,7.333333333333333,21.5,0.774588,460.24
yuv,177,7.375,21.58,0.777302,451.76
yuv,178,7.416666666666667,21.65,0.779919,444.26
yuv,179,7.458333333333333,21.7,0.78334,439.12
yuv,180,7.5,21.76,0.786006,433.25
yuv,181,7.541666666666667,21.86,0.78906,424.04
yuv,182,7.583333333333333,21.92,0.792765,417.99
yuv,183,7.625,21.93,0.79653,417.11
yuv,184,7.666666666666667,21.93,0.798369,417.31
yuv,185,7.708333333333333,21.96,0.79993,414.16
yuv,186,7.75,21.97,0.801155,413.16
yuv,187,7.791666666666667,22.0,0.80336,409.95
yuv,188,7.833333333333333,21.95,0.801976,414.73
yuv,189,7.875,21.93,0.802323,417.3
yuv,190,7.916666666666667,21.94,0.803175,415.7
yuv,191,7.958333333333333,21.95,0.804193,414.69
yuv,192,8.0,21.97,0.805832,413.06
yuv,193,8.041666666666666,21.97,0.806552,412.96
yuv,194,8.083333333333334,21.95,0.806247,414.7
yuv,195,8.125,21.96,0.80662,414.26
yuv,196,8.166666666666666,22.0,0.807964,410.52
yuv,197,8.208333333333334,22.01,0.808588,409.48
yuv,198,8.25,22.0,0.808467,410.24
yuv,199,8.291666666666666,21.99,0.808482,411.05
yuv,200,8.333333333333334,22.02,0.807887,408.33
yuv,201,8.375,22.05,0.809309,405.51
yuv,202,8.416666666666666,22.03,0.811264,407.11
yuv,203,8.458333333333334,22.07,0.812018,404.14
yuv,204,8.5,22.11,0.812539,400.16
yuv,205,8.541666666666666,22.25,0.814708,387.12
yuv,206,8.583333333333334,21.97,0.809409,412.81
yuv,207,8.625,22.01,0.809161,409.66
yuv,208,8.666666666666666,21.92,0.806529,418.0
yuv,209,8.708333333333334,21.9,0.806487,419.82
yuv,210,8.75,21.78,0.804167,431.76
yuv,211,8.791666666666666,21.77,0.803821,432.51
yuv,212,8.833333333333334,21.69,0.802109,440.23
yuv,213,8.875,21.7,0.802404,440.12
yuv,214,8.916666666666666,21.62,0.800824,447.52
yuv,215,8.958333333333334,21.61,0.800227,448.98
yuv,216,9.0,21.53,0.797963,457.22
yuv,217,9.041666666666666,21.52,0.797673,458.36
yuv,218,9.083333333333334,21.46,0.796308,465.01
yuv,219,9.125,21.43,0.795289,467.81
yuv,220,9.166666666666666,21.42,0.793716,468.45
yuv,221,9.208333333333334,21.44,0.793105,466.41
yuv,222,9.25,21.39,0.792096,472.22
yuv,223,9.291666666666666,21.3,0.791208,481.54
yuv,224,9.333333333333334,21.19,0.788785,494.37
yuv,225,9.375,21.16,0.787786,497.82
yuv,226,9.416666666666666,21.12,0.786387,502.53
yuv,227,9.458333333333334,21.09,0.786339,505.77
yuv,228,9.5,21.06,0.7855,509.56
yuv,229,9.541666666666666,21.05,0.785057,510.32
yuv,230,9.583333333333334,21.05,0.784193,510.77
yuv,231,9.625,21.01,0.783766,515.01
yuv,232,9.666666666666666,20.76,0.781486,545.66
yuv,233,9.708333333333334,20.84,0.782092,535.68
yuv,234,9.75,20.89,0.78121,530.15
yuv,235,9.791666666666666,20.81,0.779095,539.8
yuv,236,9.833333333333334,20.67,0.777327,557.4
yuv,237,9.875,20.69,0.778047,554.64
yuv,238,9.916666666666666,20.84,0.778751,536.5
yuv,239,9.958333333333334,20.86,0.780271,533.04
yuv,240,10.0,20.9,0.782094,528.0
yuv,241,10.041666666666666,20.94,0.783355,523.96
yuv,242,10.083333333333334,20.97,0.784261,520.66
yuv,243,10.125,20.99,0.784935,517.77
yuv,244,10.166666666666666,21.02,0.786429,514.46
yuv,245,10.208333333333334,21.07,0.787637,508.69
yuv,246,10.25,21.11,0.789063,503.52
yuv,247,10.291666666666666,21.18,0.790712,495.45
yuv,248,10.333333333333334,21.23,0.792527,489.99
yuv,249,10.375,21.27,0.793722,485.43
yuv,250,10.416666666666666,21.36,0.803757,475.48
yuv,251,10.458333333333334,21.42,0.804644,469.35
yuv,252,10.5,21.45,0.805733,465.5
yuv,253,10.541666666666666,21.5,0.806928,459.89
yuv,254,10.583333333333334,21.55,0.807678,454.93
yuv,255,10.625,21.63,0.808768,446.69
yuv,256,10.666666666666666,21.7,0.810687,439.44
yuv,257,10.708333333333334,21.72,0.81195,437.87
yuv,258,10.75,21.73,0.812778,436.42
yuv,259,10.791666666666666,21.71,0.811342,438.11
yuv,260,10.833333333333334,21.65,0.807714,445.04
yuv,261,10.875,21.59,0.805467,451.07
yuv,262,10.916666666666666,21.54,0.802701,456.32
yuv,263,10.958333333333334,21.45,0.798828,465.52
yuv,264,11.0,21.31,0.790263,480.95
yuv,265,11.041666666666666,21.22,0.786132,490.62
yuv,266,11.083333333333334,21.07,0.78253,507.95
yuv,267,11.125,21.05,0.779324,510.71
yuv,268,11.166666666666666,21.03,0.774675,512.63
yuv,269,11.208333333333334,21.05,0.773037,510.48
yuv,270,11.25,21.0,0.770166,516.52
yuv,271,11.291666666666666,20.97,0.767837,519.59
yuv,272,11.333333333333334,20.95,0.764136,522.27
yuv,273,11.375,20.95,0.762596,522.2
yuv,274,11.416666666666666,20.88,0.759061,530.87
yuv,275,11.458333333333334,20.86,0.757036,533.48
yuv,276,11.5,20.81,0.753519,539.53
yuv,277,11.541666666666666,20.8,0.751366,540.64
yuv,278,11.583333333333334,20.78,0.750267,543.32
yuv,279,11.625,20.81,0.750375,539.96
yuv,280,11.666666666666666,20.79,0.749112,542.37
yuv,281,11.708333333333334,20.8,0.74919,541.28
yuv,282,11.75,20.78,0.747806,543.62
yuv,283,11.791666666666666,20.8,0.748139,540.9
yuv,284,11.833333333333334,20.82,0.747812,537.98
yuv,285,11.875,20.86,0.74813,533.31
yuv,286,11.916666666666666,20.85,0.746802,534.71
yuv,287,11.958333333333334,20.87,0.746726,532.56
yuv,288,12.0,20.87,0.746215,532.4
yuv,289,12.041666666666666,20.89,0.746441,529.91
yuv,290,12.083333333333334,20.89,0.747304,530.36
yuv,291,12.125,20.91,0.748808,527.61
yuv,292,12.166666666666666,20.92,0.749456,526.52
yuv,293,12.208333333333334,20.93,0.74928,525.38
yuv,294,12.25,20.92,0.749735,526.23
yuv,295,12.291666666666666,20.93,0.750291,525.43
yuv,296,12.333333333333334,20.96,0.751852,520.74
yuv,297,12.375,20.99,0.752838,517.87
yuv,298,12.416666666666666,21.0,0.75418,516.66
yuv,299,12.458333333333334,21.1,0.755841,504.73
yuv,300,12.5,21.1,0.756607,504.89
yuv,301,12.541666666666666,21.06,0.758377,509.91
yuv,302,12.583333333333334,20.79,0.755687,541.93
yuv,303,12.625,20.67,0.754513,557.75
yuv,304,12.666666666666666,20.7,0.755513,553.13
yuv,305,12.708333333333334,20.79,0.757768,542.05
yuv,306,12.75,20.88,0.761505,530.96
yuv,307,12.791666666666666,21.01,0.765744,515.73
yuv,308,12.833333333333334,20.96,0.76714,520.97
yuv,309,12.875,21.01,0.770491,515.67
yuv,310,12.916666666666666,21.32,0.774442,480.03
yuv,311,12.958333333333334,21.43,0.778865,467.64
yuv,312,13.0,21.44,0.78172,466.65
yuv,313,13.041666666666666,21.49,0.783485,460.89
yuv,314,13.083333333333334,21.47,0.784356,463.03
yuv,315,13.125,21.51,0.786165,459.54
yuv,316,13.166666666666666,21.48,0.786055,462.66
yuv,317,13.208333333333334,21.51,0.78746,459.05
yuv,318,13.25,21.57,0.790922,452.57
yuv,319,13.291666666666666,21.64,0.794611,445.51
yuv,320,13.333333333333334,21.7,0.79835,439.78
yuv,321,13.375,21.72,0.799673,437.26
yuv,322,13.416666666666666,21.72,0.800441,437.88
yuv,323,13.458333333333334,21.72,0.800966,437.39
yuv,324,13.5,21.68,0.799807,441.72
yuv,325,13.541666666666666,21.65,0.800092,444.86
yuv,326,13.583333333333334,21.6,0.800143,450.07
yuv,327,13.625,21.57,0.799921,452.49
yuv,328,13.666666666666666,21.53,0.799602,457.47
yuv,329,13.708333333333334,21.52,0.799678,458.72
yuv,330,13.75,21.52,0.800558,457.88
yuv,331,13.791666666666666,21.58,0.802605,451.53
yuv,332,13.833333333333334,21.72,0.805556,437.18
yuv,333,13.875,21.75,0.807126,434.45
yuv,334,13.916666666666666,21.82,0.808685,427.53
yuv,335,13.958333333333334,21.85,0.809976,424.32
yuv,336,14.0,21.85,0.80966,424.83
yuv,337,14.041666666666666,21.82,0.809306,427.32
yuv,338,14.083333333333334,21.82,0.809454,427.68
yuv,339,14.125,21.84,0.810469,425.97
yuv,340,14.166666666666666,21.87,0.812048,422.32
yuv,341,14.208333333333334,21.95,0.814131,415.35
yuv,342,14.25,22.0,0.816128,409.92
yuv,343,14.291666666666666,22.07,0.817748,403.79
yuv,344,14.333333333333334,21.93,0.817616,416.53
yuv,345,14.375,22.14,0.820248,397.2
yuv,346,14.416666666666666,22.23,0.821026,388.71
yuv,347,14.458333333333334,22.24,0.820653,388.58
yuv,348,14.5,21.83,0.814156,426.45
yuv,349,14.541666666666666,21.69,0.809766,440.64
yuv,350,14.583333333333334,21.4,0.804989,471.56
yuv,351,14.625,21.38,0.804236,473.61
yuv,352,14.666666666666666,21.35,0.803603,476.09
yuv,353,14.708333333333334,21.27,0.799903,485.11
yuv,354,14.75,21.25,0.793906,488.09
yuv,355,14.791666666666666,21.14,0.788848,500.32
yuv,356,14.833333333333334,20.95,0.778038,521.97
yuv,357,14.875,20.88,0.76941,530.93
yuv,358,14.916666666666666,20.62,0.753125,563.35
yuv,359,14.958333333333334,20.46,0.744034,585.43
yuv,360,15.0,20.39,0.739967,594.62
yuv,361,15.041666666666666,20.39,0.737862,594.46
