reference,candidate,measurement,reference_s,candidate_s,delta_s,latency_reduction_percent,speedup
bf16,pr4691,normal_e2e,27.493666666666666,25.90233333333333,-1.5913333333333348,5.787999660527888,1.0614359066750745
bf16,pr4691,dit_untraced,20.685373,19.155216,-1.530156999999999,7.397289862745038,1.0798820018526547
bf16,pr4951,normal_e2e,27.493666666666666,25.706333333333333,-1.7873333333333328,6.5008911143172305,1.06952890986657
bf16,pr4951,dit_untraced,20.685373,18.989541,-1.6958319999999993,8.198218132203849,1.089303475002371
pr4691,pr4951,normal_e2e,25.90233333333333,25.706333333333333,-0.19599999999999795,0.7566885866138073,1.0076245801942452
pr4691,pr4951,dit_untraced,19.155216,18.989541,-0.16567500000000024,0.864908022963562,1.0087245394714912
