reference,candidate,physical_gpu,reference_ms_per_step,candidate_ms_per_step,latency_reduction_percent,speedup
bf16,pr4691,0,1181.4524415,701.5656925,40.61837211074908,1.6840225429067717
bf16,pr4691,1,1164.1265165,702.64818375,39.64159618470472,1.6567701211253574
bf16,pr4691,2,1160.9225665,701.247362,39.595681724565736,1.6555107789482137
bf16,pr4691,3,1217.03138875,702.61672,42.26798696444056,1.7321412287911393
bf16,pr4691,4,1182.3371195,684.84169725,42.07729031296813,1.726438568573885
bf16,pr4691,5,1155.984124,671.571641,41.90476953297674,1.7213117014272497
bf16,pr4691,6,1163.5944695,671.509079,42.290110807371796,1.7328052678495505
bf16,pr4691,7,1405.9024655,853.540147,39.28880786929667,1.6471427506268197
bf16,pr4951,0,1181.4524415,660.58809875,44.086780343752,1.7884858109548256
bf16,pr4951,1,1164.1265165,660.15833875,43.29152979567922,1.7634050017519376
bf16,pr4951,2,1160.9225665,659.3985105,43.2004743875396,1.7605780844420027
bf16,pr4951,3,1217.03138875,670.10601125,44.93929922890002,1.816177393304946
bf16,pr4951,4,1182.3371195,659.0578255,44.25804496616753,1.7939808522916931
bf16,pr4951,5,1155.984124,647.56485675,43.98150949432935,1.785124859618936
bf16,pr4951,6,1163.5944695,647.16769475,44.38202383102682,1.7979798419163908
bf16,pr4951,7,1405.9024655,801.6430275,42.98018197052518,1.7537762037105724
pr4691,pr4951,0,701.5656925,660.58809875,5.84087765238036,1.0620319891132461
pr4691,pr4951,1,702.64818375,660.15833875,6.047100950753725,1.0643631118565493
pr4691,pr4951,2,701.247362,659.3985105,5.967773109426677,1.0634651896138911
pr4691,pr4951,3,702.61672,670.10601125,4.6270901082456355,1.048515769451695
pr4691,pr4951,4,684.84169725,659.0578255,3.7649389418804136,1.0391223209138574
pr4691,pr4951,5,671.571641,647.56485675,3.574716796297839,1.0370724013197463
pr4691,pr4951,6,671.509079,647.16769475,3.6248779072724946,1.037612174475741
pr4691,pr4951,7,853.540147,801.6430275,6.0802200906901245,1.0647384405772806
