reference,candidate,physical_gpu,phase,reference_s,candidate_s,delta_s,latency_reduction_percent,speedup,reference_share_percent,candidate_share_percent,share_delta_pp
bf16,pr4691,0,attention_other,0.00013516800000000002,0.000135744,5.759999999999891e-07,-0.42613636363635354,0.9957567185289958,0.002674311830815691,0.0029225924494271174,0.00024828061861142644
bf16,pr4691,0,communication_other,0.0028598110000000003,0.003615203,0.0007553919999999997,-26.414053236385193,0.791051290895698,0.05658163464131194,0.07783596321713124,0.021254328575819298
bf16,pr4691,0,concurrent_mixed,0.0,0.0,0.0,,,0.0,0.0,0.0
bf16,pr4691,0,idle,0.658473061,0.660500099,0.0020270379999999255,-0.30783916914103315,0.996931055721159,13.02795260198954,14.220684539893208,1.1927319379036678
bf16,pr4691,0,layout_copy,0.122342091,0.197811765,0.075469674,-61.68741549463954,0.6184773236313826,2.420549992365278,4.2589224628480915,1.8383724704828137
bf16,pr4691,0,linear_gemm,2.537143408,2.4923435290000002,-0.04479987899999971,1.76576061324476,1.0179750016314864,50.197625417927625,53.66059921052817,3.4629737926005433
bf16,pr4691,0,memory_ops,0.009093477999999999,0.009140453000000002,4.697500000000292e-05,-0.5165790250991176,0.9948607579952544,0.1799153335009929,0.19679557786821844,0.016880244367225544
bf16,pr4691,0,other,0.13047419999999998,0.13186041,0.0013862100000000266,-1.0624399306529808,0.9894872919020954,2.5814445480898778,2.838978066392356,0.2575335183024783
bf16,pr4691,0,pointwise,0.075695875,0.075566591,-0.0001292839999999934,0.1707939831595784,1.0017108618807482,1.4976501395037707,1.626962136709889,0.1293119972061183
bf16,pr4691,0,rdma_barrier,0.333645608,0.319912554,-0.013733053999999967,4.116060176041625,1.0429275245009608,6.601210321778042,6.88777415427087,0.2865638324928286
bf16,pr4691,0,rdma_other,0.0,0.0,0.0,,,0.0,0.0,0.0
bf16,pr4691,0,sage_quantization,0.0,0.052209965,0.052209965,,0.0,0.0,1.124089827129406,1.124089827129406
bf16,pr4691,0,vsa,1.184446915,0.7015471790000001,-0.482899736,40.77006152698704,1.6883353685326414,23.434395698372743,15.104435468693234,-8.329960229679509
bf16,pr4691,1,attention_other,0.000135456,0.000134656,-7.999999999999923e-07,0.5905976848570749,1.0059410646387832,0.0026800099384097584,0.0028991676160276545,0.00021915767761789603
bf16,pr4691,1,communication_other,0.003251623,0.003859591,0.000607968,-18.6973705131253,0.842478646053429,0.06433367260189105,0.08309768029877458,0.018764007696883536
