mode,stage,seconds,share_percent
bf16,Encoder,0.121904,0.4448996970839771
bf16,DiT,20.685373,75.49314363572219
bf16,Decode,6.503759,23.736057955499323
bf16,Other request time,0.08929733333333445,0.325898711694509
pr4691,Encoder,0.122786,0.47302402629923085
pr4691,DiT,19.155216,73.79405955851193
pr4691,Decode,6.591645,25.39382712878662
pr4691,Other request time,0.08801966666666416,0.33908928640220937
pr4951,Encoder,0.122821,0.47534412694317224
pr4951,DiT,18.989541,73.49367606269753
pr4951,Decode,6.640423,25.699889053731535
pr4951,Other request time,0.08554833333333534,0.33109075662775717
