mode,physical_gpu,phase,seconds,share_percent
pr4691,0,attention_other,0.000135744,0.0029225924494271174
pr4691,0,communication_other,0.003615203,0.07783596321713124
pr4691,0,layout_copy,0.197811765,4.2589224628480915
pr4691,0,memory_ops,0.009140453000000002,0.19679557786821844
pr4691,0,other,0.13186041,2.838978066392356
pr4691,0,concurrent_mixed,0.0,0.0
pr4691,0,idle,0.660500099,14.220684539893208
pr4691,0,sage_quantization,0.052209965,1.124089827129406
pr4691,4,linear_gemm,2.515918932,54.168181827807764
pr4691,4,vsa,0.686754247,14.7859410131881
pr4691,4,rdma_barrier,0.314395623,6.768993649168542
pr4691,4,rdma_other,0.0,0.0
pr4691,4,pointwise,0.075654076,1.6288457043109479
pr4691,4,attention_other,0.000132096,0.0028440503609700944
pr4691,4,communication_other,0.002921668,0.06290403138652778
pr4691,4,layout_copy,0.196138796,4.222903142896376
pr4691,4,memory_ops,0.008856761000000001,0.19068763868001948
pr4691,4,other,0.12873433399999998,2.7716730944309043
pr4691,4,concurrent_mixed,0.0,0.0
pr4691,4,idle,0.66307195,14.276056949087364
pr4691,4,sage_quantization,0.052065009,1.1209688986824826
pr4691,1,linear_gemm,2.463140686,53.03185680973251
pr4691,1,vsa,0.702630619,15.127762124482127
pr4691,1,rdma_barrier,0.341635709,7.355477542860678
pr4691,1,rdma_other,0.0,0.0
pr4691,1,pointwise,0.075524889,1.6260642852370724
pr4691,1,attention_other,0.000134656,0.0028991676160276545
pr4691,1,communication_other,0.003859591,0.08309768029877458
pr4691,1,layout_copy,0.199006667,4.284648915310118
pr4691,1,memory_ops,0.008949168,0.1926771778159976
pr4691,1,other,0.131565697,2.8326328431150984
pr4691,1,concurrent_mixed,0.0,0.0
pr4691,1,idle,0.665957099,14.33817471991239
pr4691,1,sage_quantization,0.052238711,1.1247087336192045
pr4691,5,linear_gemm,2.4258938640000003,52.229926111194416
pr4691,5,vsa,0.672059768,14.469566268273663
pr4691,5,rdma_barrier,0.420812407,9.060165925001849
pr4691,5,rdma_other,0.0,0.0
pr4691,5,pointwise,0.075498633,1.6254989888898883
pr4691,5,attention_other,0.000128064,0.0027572406842544376
pr4691,5,communication_other,0.004479938,0.09645386147970902
pr4691,5,layout_copy,0.197159753,4.244884528588486
pr4691,5,memory_ops,0.008813474,0.1897556618754583
pr4691,5,other,0.127823921,2.7520717407087485
pr4691,5,concurrent_mixed,0.0,0.0
pr4691,5,idle,0.659861298,14.206931040811948
pr4691,5,sage_quantization,0.052112372000000004,1.1219886324915807
pr4691,2,linear_gemm,2.464196768,53.05459444291833
pr4691,2,vsa,0.701195899,15.096872347850805
pr4691,2,rdma_barrier,0.347004815,7.471075349436099
pr4691,2,rdma_other,0.0,0.0
pr4691,2,pointwise,0.075712223,1.6300976195569759
pr4691,2,attention_other,0.00013519999999999998,0.0029108800327273857
pr4691,2,communication_other,0.0037375769999999997,0.08047069718994915
pr4691,2,layout_copy,0.199456099,4.294325266159739
pr4691,2,memory_ops,0.009063771,0.19514460077746695
pr4691,2,other,0.13185909799999998,2.838949818799139
pr4691,2,concurrent_mixed,0.0,0.0
pr4691,2,idle,0.660036332,14.210699553945442
pr4691,2,sage_quantization,0.05224571,1.124859423333325
pr4691,6,linear_gemm,2.475471965,53.29735143857194
pr4691,6,vsa,0.6725155119999999,14.479378517605285
pr4691,6,rdma_barrier,0.371527602,7.999055312639698
pr4691,6,rdma_other,0.0,0.0
pr4691,6,pointwise,0.07554145400000001,1.6264209326316148
pr4691,6,attention_other,0.000130816,0.0028164917334413146
pr4691,6,communication_other,0.0039633310000000005,0.08533122093927117
pr4691,6,layout_copy,0.197020094,4.241877645493141
pr4691,6,memory_ops,0.008326212,0.17926482440129551
pr4691,6,other,0.127112977,2.736764990013576
pr4691,6,concurrent_mixed,0.0,0.0
pr4691,6,idle,0.660851799,14.228256703410295
pr4691,6,sage_quantization,0.05218173,1.1234819225604409
pr4691,3,linear_gemm,2.558938334,55.094397199861554
pr4691,3,vsa,0.702722765,15.12974604424171
pr4691,3,rdma_barrier,0.25376668799999996,5.46364190140947
pr4691,3,rdma_other,0.0,0.0
pr4691,3,pointwise,0.07544622499999999,1.6243706353340068
pr4691,3,attention_other,0.000135808,0.0029239703808035564
pr4691,3,communication_other,0.0022204160000000002,0.04780595117417464
pr4691,3,layout_copy,0.199683156,4.299213843730678
pr4691,3,memory_ops,0.007940735,0.17096543607011463
pr4691,3,other,0.13141093699999998,2.829300832805447
pr4691,3,concurrent_mixed,0.0,0.0
pr4691,3,idle,0.660075758,14.211548402733683
pr4691,3,sage_quantization,0.05230267,1.1260857822583554
pr4691,7,linear_gemm,2.6274945499999998,56.5704247166792
pr4691,7,vsa,0.853450123,18.374932854803486
pr4691,7,rdma_barrier,0.005605664,0.12069094236522729
pr4691,7,rdma_other,0.0,0.0
pr4691,7,pointwise,0.07597238299999999,1.6356989106022004
pr4691,7,attention_other,0.00016064,0.003458607754861888
pr4691,7,communication_other,0.001515681,0.032632881352694355
pr4691,7,layout_copy,0.208991728,4.499629053553202
pr4691,7,memory_ops,0.00855008,0.1840847422353681
pr4691,7,other,0.14468330399999998,3.1150572535697214
pr4691,7,concurrent_mixed,0.0,0.0
pr4691,7,idle,0.663980636,14.295621120192534
pr4691,7,sage_quantization,0.054238703,1.1677689168915013
pr4951,0,linear_gemm,2.5015668580000003,54.487649467561454
pr4951,0,vsa,0.66068035,14.390548549914397
pr4951,0,rdma_barrier,0.295925145,6.4456664501418235
pr4951,0,rdma_other,0.0,0.0
pr4951,0,pointwise,0.075519576,1.644922729875272
pr4951,0,attention_other,0.000135008,0.0029406643903165017
pr4951,0,communication_other,0.0033377309999999996,0.0727004821651716
pr4951,0,layout_copy,0.197447037,4.300674557651433
pr4951,0,memory_ops,0.009110338,0.198435992980766
pr4951,0,other,0.13173713,2.869420234900863
pr4951,0,concurrent_mixed,0.0,0.0
pr4951,0,idle,0.6633955509999999,14.449689451885034
pr4951,0,sage_quantization,0.052216614999999994,1.1373514185334683
pr4951,4,linear_gemm,2.5106979999999997,54.68653860096335
pr4951,4,vsa,0.660747374,14.392008427033506
pr4951,4,rdma_barrier,0.2933181,6.388881338182142
pr4951,4,rdma_other,0.0,0.0
pr4951,4,pointwise,0.07561185899999999,1.6469327835901004
pr4951,4,attention_other,0.000130464,0.002841689670376956
pr4951,4,communication_other,0.0028937010000000003,0.06302888337671288
pr4951,4,layout_copy,0.19618445,4.273173634516682
pr4951,4,memory_ops,0.008794929,0.19156594072693411
pr4951,4,other,0.128327363,2.795150707197495
pr4951,4,concurrent_mixed,0.0,0.0
pr4951,4,idle,0.662292092,14.42565456071211
pr4951,4,sage_quantization,0.052073007,1.1342234340305901
pr4951,1,linear_gemm,2.468037719,53.757337596448096
pr4951,1,vsa,0.66022182,14.380561120703597
pr4951,1,rdma_barrier,0.330742512,7.204037741483677
pr4951,1,rdma_other,0.0,0.0
pr4951,1,pointwise,0.075571714,1.6460583689483812
pr4951,1,attention_other,0.000134624,0.00293230032947654
pr4951,1,communication_other,0.0038486799999999997,0.0838296710248527
pr4951,1,layout_copy,0.198445852,4.322430155119835
pr4951,1,memory_ops,0.008909098,0.19405270234682362
pr4951,1,other,0.13133641399999998,2.860692076037462
pr4951,1,concurrent_mixed,0.0,0.0
pr4951,1,idle,0.661558688,14.409679988638485
pr4951,1,sage_quantization,0.052264218,1.1383882789193138
pr4951,5,linear_gemm,2.427940846,52.88397122857254
pr4951,5,vsa,0.648071977,14.11592042787031
pr4951,5,rdma_barrier,0.38717314900000005,8.433176494363334
pr4951,5,rdma_other,0.0,0.0
pr4951,5,pointwise,0.07548358899999999,1.6441388823298353
pr4951,5,attention_other,0.00012784,0.0027845352546372183
pr4951,5,communication_other,0.0044551059999999995,0.09703848341791145
pr4951,5,layout_copy,0.196973758,4.290365874447589
pr4951,5,memory_ops,0.00875741,0.1907487240637713
pr4951,5,other,0.12809119200000002,2.7900065701854255
pr4951,5,concurrent_mixed,0.0,0.0
pr4951,5,idle,0.6619096170000001,14.417323716520015
pr4951,5,sage_quantization,0.052086855,1.1345250629746313
pr4951,2,linear_gemm,2.4679680910000004,53.75582100054142
pr4951,2,vsa,0.659345294,14.361469149891596
pr4951,2,rdma_barrier,0.330138229,7.190875606648899
pr4951,2,rdma_other,0.0,0.0
pr4951,2,pointwise,0.075601377,1.6467044708668597
pr4951,2,attention_other,0.000135553,0.002952535257914885
pr4951,2,communication_other,0.0038080090000000002,0.0829437993622952
pr4951,2,layout_copy,0.1988434,4.331089310481307
pr4951,2,memory_ops,0.00903286,0.19674841301785312
pr4951,2,other,0.131422966,2.862577300500536
pr4951,2,concurrent_mixed,0.0,0.0
pr4951,2,idle,0.6623665200000001,14.427275707379287
pr4951,2,sage_quantization,0.05240904,1.1415427060520351
pr4951,6,linear_gemm,2.480179068,54.021793277998114
pr4951,6,vsa,0.648281845,14.120491648496252
pr4951,6,rdma_barrier,0.334380879,7.283286499155834
pr4951,6,rdma_other,0.0,0.0
pr4951,6,pointwise,0.075498632,1.644466540056959
pr4951,6,attention_other,0.00013088,0.0028507507362869142
pr4951,6,communication_other,0.004123171,0.08980847160824307
pr4951,6,layout_copy,0.196379031,4.2774118827518395
pr4951,6,memory_ops,0.008303492,0.18086175070868354
pr4951,6,other,0.12702951899999998,2.766881836945466
pr4951,6,concurrent_mixed,0.0,0.0
pr4951,6,idle,0.6645700379999999,14.47527143293645
pr4951,6,sage_quantization,0.052194784,1.1368759086058715
pr4951,3,linear_gemm,2.573255337,56.049125508916426
pr4951,3,vsa,0.671094801,14.617389960796686
pr4951,3,rdma_barrier,0.212918656,4.637668210278272
pr4951,3,rdma_other,0.0,0.0
pr4951,3,pointwise,0.075410093,1.64253803593532
pr4951,3,attention_other,0.000136064,0.002963665557626396
pr4951,3,communication_other,0.002109408,0.0459458772091191
pr4951,3,layout_copy,0.199270578,4.340393848974778
pr4951,3,memory_ops,0.007998621,0.17422123093696498
pr4951,3,other,0.131378381,2.8616061764053544
pr4951,3,concurrent_mixed,0.0,0.0
pr4951,3,idle,0.6652287250000001,14.489618563515856
pr4951,3,sage_quantization,0.052270674999999996,1.1385289214735943
pr4951,7,linear_gemm,2.627611025,57.23306895014031
pr4951,7,vsa,0.8014418879999999,17.456533101369
pr4951,7,rdma_barrier,0.003486978,0.07595129203022824
pr4951,7,rdma_other,0.0,0.0
pr4951,7,pointwise,0.076012605,1.6556615958957548
pr4951,7,attention_other,0.00016044800000000002,0.003494783420963958
pr4951,7,communication_other,0.0015148809999999998,0.032996241795056974
pr4951,7,layout_copy,0.208502342,4.541474671256465
pr4951,7,memory_ops,0.008551394,0.18626140542313188
pr4951,7,other,0.144554971,3.148610865007515
pr4951,7,concurrent_mixed,0.0,0.0
pr4951,7,idle,0.664897957,14.482413970609835
pr4951,7,sage_quantization,0.05433685,1.1835331230517392
