mode,metric,physical_gpu,window,sample_count,max_mhz,mean_mhz,first_timestamp_ns,last_timestamp_ns
pr4951,gpc,0,full_capture,29084,2377.5223,2209.7770167663666,-190695492,30922791246
pr4951,gpc,0,timestamps_inside_fine_vsa_kernels,2633,2377.4454,2366.3399514622106,3775900650,22068668114
pr4951,gpc,1,full_capture,29207,2377.5405,2226.9329245480535,-160107423,31146803957
pr4951,gpc,1,timestamps_inside_fine_vsa_kernels,2629,2377.3696,2368.143616394066,3786466420,22068333446
pr4951,gpc,2,full_capture,28764,2377.5747,2238.6607196547075,-247403908,30428769620
pr4951,gpc,2,timestamps_inside_fine_vsa_kernels,2655,2377.5747,2370.350760225989,3782155826,22068516246
pr4951,gpc,3,full_capture,28916,2377.5934,2196.029656741458,-219694842,30647731426
pr4951,gpc,3,timestamps_inside_fine_vsa_kernels,2686,2377.0548,2333.4944260982875,3779625070,22068625514
pr4951,gpc,4,full_capture,29696,2586.2792,2283.148077357287,-50468565,31856445609
pr4951,gpc,4,timestamps_inside_fine_vsa_kernels,2631,2542.8319,2376.3665105663245,3766773413,22067909446
pr4951,gpc,5,full_capture,29892,2592.3573,2328.1936423283155,936192,32157057326
pr4951,gpc,5,timestamps_inside_fine_vsa_kernels,2588,2557.1096,2417.9229760819167,3769993921,22068125473
pr4951,gpc,6,full_capture,29517,2642.0821,2342.654639720534,-128249249,31362942005
pr4951,gpc,6,timestamps_inside_fine_vsa_kernels,2585,2593.2508,2419.997675048356,3786299674,22068523536
pr4951,gpc,7,full_capture,28425,1950.095,1946.3425165661565,-88522497,31621018236
pr4951,gpc,7,timestamps_inside_fine_vsa_kernels,3207,1950.069,1948.068710695354,3775596227,22071600655
pr4951,sys,0,full_capture,29084,2164.238,1986.1865442571861,-190695492,30922791246
pr4951,sys,0,timestamps_inside_fine_vsa_kernels,2633,2162.714,2142.4245169008736,3775900650,22068668114
pr4951,sys,1,full_capture,29207,2167.534,2011.8440524762213,-160107423,31146803957
pr4951,sys,1,timestamps_inside_fine_vsa_kernels,2629,2167.38,2162.2436215290986,3786466420,22068333446
pr4951,sys,2,full_capture,28764,2163.842,2019.316318201467,-247403908,30428769620
pr4951,sys,2,timestamps_inside_fine_vsa_kernels,2655,2162.803,2151.2126037664784,3782155826,22068516246
pr4951,sys,3,full_capture,28916,2167.559,1992.0222853564462,-219694842,30647731426
pr4951,sys,3,timestamps_inside_fine_vsa_kernels,2686,2167.462,2145.8638261355177,3779625070,22068625514
pr4951,sys,4,full_capture,29696,2304.051,2008.6768559378704,-50468565,31856445609
pr4951,sys,4,timestamps_inside_fine_vsa_kernels,2631,2292.852,2153.4689627518055,3766773413,22067909446
pr4951,sys,5,full_capture,29892,2321.506,2035.8260421181922,936192,32157057326
pr4951,sys,5,timestamps_inside_fine_vsa_kernels,2588,2317.859,2184.268104327666,3769993921,22068125473
pr4951,sys,6,full_capture,29517,2374.672,2080.2680736054476,-128249249,31362942005
pr4951,sys,6,timestamps_inside_fine_vsa_kernels,2585,2358.759,2197.7220657640232,3786299674,22068523536
pr4951,sys,7,full_capture,28425,1797.382,1735.412873649569,-88522497,31621018236
pr4951,sys,7,timestamps_inside_fine_vsa_kernels,3207,1795.296,1786.5033638914874,3775596227,22071600655
