reference,candidate,stage,reference_s,candidate_s,delta_s,latency_reduction_percent,speedup,reference_share_percent,candidate_share_percent,share_delta_pp
bf16,pr4691,Encoder,0.121904,0.122786,0.0008820000000000078,-0.7235201470009223,0.992816770641604,0.4448996970839771,0.47302402629923085,0.028124329215253763
bf16,pr4691,DiT,20.685373,19.155216,-1.530156999999999,7.397289862745038,1.0798820018526547,75.49314363572219,73.79405955851193,-1.6990840772102587
bf16,pr4691,Decode,6.503759,6.591645,0.08788600000000013,-1.3513108342421587,0.9866670611053842,23.736057955499323,25.39382712878662,1.6577691732872957
bf16,pr4691,Other request time,0.08929733333333445,0.08801966666666416,-0.0012776666666702852,1.430800471835969,1.0145156953560037,0.325898711694509,0.33908928640220937,0.013190574707700353
bf16,pr4951,Encoder,0.121904,0.122821,0.0009170000000000011,-0.752231263945391,0.9925338500744987,0.4448996970839771,0.47534412694317224,0.030444429859195155
bf16,pr4951,DiT,20.685373,18.989541,-1.6958319999999993,8.198218132203849,1.089303475002371,75.49314363572219,73.49367606269753,-1.9994675730246598
bf16,pr4951,Decode,6.503759,6.640423,0.13666400000000056,-2.1013078744154035,0.9794193833736193,23.736057955499323,25.699889053731535,1.9638310982322125
bf16,pr4951,Other request time,0.08929733333333445,0.08554833333333534,-0.003748999999999114,4.198333656845743,1.0438231798788096,0.325898711694509,0.33109075662775717,0.005192044933248152
pr4691,pr4951,Encoder,0.122786,0.122821,3.499999999999337e-05,-0.028504878406332423,0.9997150324455916,0.47302402629923085,0.47534412694317224,0.002320100643941392
pr4691,pr4951,DiT,19.155216,18.989541,-0.16567500000000024,0.864908022963562,1.0087245394714912,73.79405955851193,73.49367606269753,-0.30038349581440116
pr4691,pr4951,Decode,6.591645,6.640423,0.04877800000000043,-0.7399973754654621,0.9926543836138149,25.39382712878662,25.699889053731535,0.3060619249449168
pr4691,pr4951,Other request time,0.08801966666666416,0.08554833333333534,-0.002471333333328829,2.807705853611009,1.0288881528959704,0.33908928640220937,0.33109075662775717,-0.007998529774452201
