mode,measurement,repeats,mean_s,median_s,min_s,max_s,samples_s,dit_s,decode_s,peak_gpu_mib
bf16,normal,3,27.493666666666666,27.471,27.365,27.645,"[27.645, 27.471, 27.365]",-,-,60433
bf16,stages,3,27.400333333333332,27.368,27.328,27.505,"[27.505, 27.328, 27.368]",20.685373,6.503759,60431
bf16,nsys,1,28.157,28.157,28.157,28.157,[28.157],21.050233,6.880771,60421
pr4691,normal,3,25.90233333333333,25.913,25.807,25.987,"[25.987, 25.807, 25.913]",-,-,61191
pr4691,stages,3,25.957666666666665,25.958,25.953,25.962,"[25.962, 25.953, 25.958]",19.155216,6.591645,61191
pr4691,nsys,1,26.414,26.414,26.414,26.414,[26.414],19.397844,6.792788,61141
pr4951,normal,3,25.706333333333333,25.772,25.554,25.793,"[25.793, 25.554, 25.772]",-,-,61191
pr4951,stages,3,25.838333333333335,25.792,25.717,26.006,"[25.792, 25.717, 26.006]",18.989541,6.640423,61191
pr4951,nsys,1,26.361,26.361,26.361,26.361,[26.361],19.205989,6.923615,61141
