trace,range,count,median_ms,min_ms,max_ms,sum_across_ranges_ms
all_bf16_weights_1088,h3.profile.dit.step_02,8,1935.5558409999999,1935.391997,1935.817203,15484.680633
all_bf16_weights_1088,h3.profile.dit.step_03,8,1242.8599495,1242.708031,1242.939298,9942.720957
all_bf16_weights_1088,h3.profile.dit.step_04,8,1243.8390715,1243.587269,1244.040464,9950.778939
all_bf16_weights_1088,h3.profile.decode,8,624.2477329999999,623.907228,644.912735,5014.142283
all_bf16_weights_1088,h3.profile.rdma.release,8,0.005955,0.00569,0.01042,0.05425000000000001
all_bf16_weights_1088,h3.profile.video_vae,8,624.1422095,601.691155,624.404821,4970.695556000001
all_bf16_weights_1088,h3.profile.audio_vae,1,21.821407,21.821407,21.821407,21.821407
all_bf16_weights_1088,h3.profile.output.early_aac_encode,1,122.108408,122.108408,122.108408,122.108408
all_bf16_weights_1088,h3.profile.output.submit_u8_d2h,8,0.065799,0.05177,0.087869,0.527843
all_bf16_weights_1088,h3.profile.output.d2h_wait,8,10.4555795,0.00891,45.409271,112.87729800000001
all_bf16_weights_1088,h3.profile.output.video_encode_mux,8,14.2437305,4.008868,17.984187,109.101036
all_bf16_weights_1088,h3.profile.output.finish,1,19.732545,19.732545,19.732545,19.732545
all_bf16_weights_1088,h3.profile.output.audio_mux_finalize,1,1.970124,1.970124,1.970124,1.970124
cache_1,h3.profile.prepare_request,1,562.476763,562.476763,562.476763,562.476763
cache_1,h3.profile.encoder,8,263.147043,258.303978,265.733512,2103.6856940000002
cache_1,h3.profile.dit,8,3638.984935,3638.543074,3639.305109,29111.609626
cache_1,h3.profile.dit.step_01,8,1589.507036,1585.461691,1591.407993,12711.510806
cache_1,h3.profile.dit.step_02,8,674.851839,674.77751,674.976906,5398.946446
cache_1,h3.profile.dit.step_03,8,674.659272,674.584604,675.159972,5397.72615
cache_1,h3.profile.dit.step_04,8,673.384948,672.949366,673.430926,5386.713977
cache_1,h3.profile.decode,8,493.5280525,493.246448,506.163854,3960.579037
cache_1,h3.profile.rdma.release,8,0.009174999999999999,0.0074,0.01221,0.075348
cache_1,h3.profile.video_vae,8,493.4677635,461.052853,493.627071,3915.131942
cache_1,h3.profile.audio_vae,1,26.354641,26.354641,26.354641,26.354641
cache_1,h3.profile.output.early_aac_encode,1,116.027094,116.027094,116.027094,116.027094
cache_1,h3.profile.output.submit_u8_d2h,8,0.066973,0.054679,0.937552,1.414991
cache_1,h3.profile.output.d2h_wait,8,15.568628499999999,0.01071,57.491297,200.184277
cache_1,h3.profile.output.video_encode_mux,8,11.9378945,3.172867,16.71902,93.151694
cache_1,h3.profile.output.finish,1,16.381357,16.381357,16.381357,16.381357
cache_1,h3.profile.output.audio_mux_finalize,1,1.590848,1.590848,1.590848,1.590848
cache_2,h3.profile.prepare_request,1,876.387666,876.387666,876.387666,876.387666
cache_2,h3.profile.encoder,8,388.04382150000004,368.473608,390.053372,3086.0544339999997
cache_2,h3.profile.dit,8,3802.6691535,3802.417594,3802.969563,30421.570766999997
cache_2,h3.profile.dit.step_01,8,1598.755964,1593.023822,1601.259439,12781.601094000001
cache_2,h3.profile.dit.step_02,8,726.0716485,725.915732,726.157407,5808.477142000001
cache_2,h3.profile.dit.step_03,8,724.6651715,724.583219,724.875113,5797.473322
cache_2,h3.profile.dit.step_04,8,722.20423,721.990449,722.285123,5777.496775
cache_2,h3.profile.decode,8,495.085502,494.844317,507.155344,3972.701328
cache_2,h3.profile.rdma.release,8,0.00809,0.00668,0.0102,0.066649
cache_2,h3.profile.video_vae,8,495.01119800000004,465.503445,495.457935,3930.6786660000002
