reference,candidate,experiment_axis,rgb_psnr_db,rgb_ssim,yuv_psnr_db,yuv_ssim,audio_snr_db,audio_identical,rgb_mean_mse
bf16-base,bf16-overlap,schedule,∞,1.0,∞,1.0,∞,True,0.0
fp8-base,fp8-overlap,schedule,∞,1.0,∞,1.0,∞,True,0.0
bf16-base,fp8-base,precision,13.690878374103173,0.4042035552486188,19.637539132191286,0.7709265552486189,-3.4915295359397334,False,2779.665414364641
bf16-overlap,fp8-overlap,precision,13.690878374103173,0.4042035552486188,19.637539132191286,0.7709265552486189,-3.4915295359397334,False,2779.665414364641
bf16-base,fp8-overlap,precision_and_schedule,13.690878374103173,0.4042035552486188,19.637539132191286,0.7709265552486189,-3.4915295359397334,False,2779.665414364641
