reference,candidate,physical_gpu,reference_ms_per_step,candidate_ms_per_step,latency_reduction_percent,speedup
bf16-base,bf16-overlap,0,660.433523,670.37784375,-1.50572622431826,0.9851660957433007
bf16-base,bf16-overlap,1,660.12104275,662.363112,-0.3396451718399529,0.996615045117428
bf16-base,bf16-overlap,2,659.2533905,660.826792,-0.238664149881207,0.9976190409967519
bf16-base,bf16-overlap,3,670.82912775,689.119267,-2.7264974780308426,0.9734586738089271
bf16-base,bf16-overlap,4,661.0799415,673.60331025,-1.894380386369665,0.9814083919134066
bf16-base,bf16-overlap,5,647.71264425,658.81020625,-1.7133465123025493,0.9831551456023
bf16-base,bf16-overlap,6,646.9444305,659.37767075,-1.9218405266107297,0.9811439774175883
bf16-base,bf16-overlap,7,801.30522975,801.60358075,-0.03723312776744425,0.9996278073013086
fp8-base,fp8-overlap,0,659.65463275,659.881154,-0.034339370748548426,0.999656724171274
fp8-base,fp8-overlap,1,659.88021175,659.90805625,-0.0042196294879337515,0.9999578054855729
fp8-base,fp8-overlap,2,659.2052235,659.17158025,0.005103607920664555,1.000051038684021
fp8-base,fp8-overlap,3,662.044854,662.567808,-0.0789907204686191,0.9992107162562296
fp8-base,fp8-overlap,4,653.630921,654.0310685,-0.06121918152033334,0.9993881827343192
fp8-base,fp8-overlap,5,645.83659125,646.13638225,-0.046419017451415634,0.9995360251980301
fp8-base,fp8-overlap,6,641.832832,642.427863,-0.09270809630379517,0.9990737777200054
fp8-base,fp8-overlap,7,801.76545675,801.472257,0.03656926692607865,1.0003658264493116
bf16-base,fp8-base,0,660.433523,659.65463275,0.11793620748715705,1.0011807546120808
bf16-base,fp8-base,1,660.12104275,659.88021175,0.036482854568120615,1.0003649616941253
bf16-base,fp8-base,2,659.2533905,659.2052235,0.007306295378095573,1.0000730682923662
bf16-base,fp8-base,3,670.82912775,662.044854,1.3094651658109968,1.0132683966908382
bf16-base,fp8-base,4,661.0799415,653.630921,1.1267957220269187,1.0113963710416327
bf16-base,fp8-base,5,647.71264425,645.83659125,0.28964279401592075,1.0029048416045443
bf16-base,fp8-base,6,646.9444305,641.832832,0.7901139972793847,1.0079640651664263
bf16-base,fp8-base,7,801.30522975,801.76545675,-0.057434668202982486,0.999425983002728
bf16-overlap,fp8-overlap,0,670.37784375,659.881154,1.5657870927360817,1.0159069397366058
bf16-overlap,fp8-overlap,1,662.363112,659.90805625,0.37065103800648647,1.0037202997095553
bf16-overlap,fp8-overlap,2,660.826792,659.17158025,0.25047588415572086,1.0025110484122695
bf16-overlap,fp8-overlap,3,689.119267,662.567808,3.8529555436156437,1.0400735723640833
bf16-overlap,fp8-overlap,4,673.60331025,654.0310685,2.9056035580846684,1.0299255535289606
bf16-overlap,fp8-overlap,5,658.81020625,646.13638225,1.9237443317917546,1.0196147815664964
bf16-overlap,fp8-overlap,6,659.37767075,642.427863,2.5705765454145046,1.0263839860102706
bf16-overlap,fp8-overlap,7,801.60358075,801.472257,0.01638263016204844,1.0001638531450752
bf16-base,fp8-overlap,0,660.433523,659.881154,0.08363733529014317,1.0008370734588368
bf16-base,fp8-overlap,1,660.12104275,659.90805625,0.032264764521483524,1.0003227517803168
bf16-base,fp8-overlap,2,659.2533905,659.17158025,0.012409530414081438,1.0001241107056966
bf16-base,fp8-overlap,3,670.82912775,662.567808,1.231508801311143,1.0124686404172536
bf16-base,fp8-overlap,4,661.0799415,654.0310685,1.066266355625023,1.0107775812793824
bf16-base,fp8-overlap,5,647.71264425,646.13638225,0.24335822590358935,1.002439519029266
bf16-base,fp8-overlap,6,646.9444305,642.427863,0.6981384006210956,1.007030466391835
bf16-base,fp8-overlap,7,801.30522975,801.472257,-0.02084439783978098,0.9997915994614396
