reference,candidate,physical_gpu,phase,reference_s,candidate_s,delta_s,latency_reduction_percent,speedup,reference_share_percent,candidate_share_percent,share_delta_pp
bf16-base,bf16-overlap,0,attention_other,0.000134304,0.00013516800000000002,8.640000000000243e-07,-0.6433166547534119,0.9936079545454544,0.0029241966845085063,0.003053152603094987,0.0001289559185864808
bf16-base,bf16-overlap,0,communication_other,0.003295587,0.002604291,-0.0006912960000000001,20.976414823823497,1.2654449905943692,0.07175471005263681,0.0588252977470026,-0.012929412305634214
bf16-base,bf16-overlap,0,concurrent_mixed,0.0,0.035395326,0.035395326,,0.0,0.0,0.799503815357893,0.799503815357893
bf16-base,bf16-overlap,0,idle,0.666869963,0.43749953399999997,-0.22937042900000004,34.39507576081966,1.5242758247143642,14.51973831608076,9.882167680848603,-4.637570635232157
bf16-base,bf16-overlap,0,layout_copy,0.197459202,0.173233475,-0.024225727000000002,12.268725263054591,1.1398443747664821,4.299272872096851,3.912969305896665,-0.38630356620018613
bf16-base,bf16-overlap,0,linear_gemm,2.503290332,2.560991566,0.057701234000000046,-2.3050156532941957,0.9774691823409152,54.504060111363756,57.84725723719525,3.3431971258314945
bf16-base,bf16-overlap,0,memory_ops,0.009113066999999999,0.009730884,0.0006178170000000014,-6.779462940412939,0.9365096737357057,0.19841851551036366,0.2197996109657268,0.021381095455363153
bf16-base,bf16-overlap,0,other,0.13163453,0.140686716,0.00905218599999999,-6.8767564255366675,0.9356571376646535,2.866074399815609,3.1778084544883787,0.3117340546727698
bf16-base,bf16-overlap,0,pointwise,0.075589987,0.07730574,0.0017157530000000004,-2.269815180679946,0.9778056196085827,1.645818362576253,1.7461693693417397,0.1003510067654867
bf16-base,bf16-overlap,0,rdma_barrier,0.292923989,0.266128621,-0.026795367999999986,9.147549878545448,1.1006857808052144,6.3778246176346665,6.0112696197637705,-0.36655499787089596
bf16-base,bf16-overlap,0,rdma_other,0.0,0.0,0.0,,,0.0,0.0,0.0
bf16-base,bf16-overlap,0,sage_quantization,0.05221774,0.052275472999999996,5.7732999999997314e-05,-0.11056204270809555,0.9988956006194339,1.1369351782562487,1.1807898057822246,0.04385462752597591
bf16-base,bf16-overlap,0,vsa,0.6603224129999999,0.671174818,0.010852405000000065,-1.6435009302039338,0.9838307327555307,14.377178719928347,15.160386650009649,0.7832079300813017
bf16-base,bf16-overlap,1,attention_other,0.00013472,0.000134784,6.39999999999777e-08,-0.0475059382422538,0.9995251661918331,0.0029332542391662646,0.003044478874108922,0.00011122463494265752
bf16-base,bf16-overlap,1,communication_other,0.003768039,0.0028803899999999996,-0.0008876490000000003,23.557319868504557,1.3081697270161334,0.08204139229582699,0.06506177665149125,-0.01697961564433574
bf16-base,bf16-overlap,1,concurrent_mixed,0.0,0.031657493,0.031657493,,0.0,0.0,0.715074256927759,0.715074256927759
bf16-base,bf16-overlap,1,idle,0.662580234,0.48043054,-0.18214969399999997,27.490964060361634,1.379138457767485,14.426338184146937,10.851886199450538,-3.574451984696399
bf16-base,bf16-overlap,1,layout_copy,0.198831849,0.176500492,-0.022331356999999996,11.231277641038284,1.1265229164347033,4.32915947120336,3.986764149779134,-0.3423953214242257
bf16-base,bf16-overlap,1,linear_gemm,2.468539254,2.5252754669999997,0.05673621299999976,-2.2983719180509343,0.9775326637662219,53.747426004630555,57.04050785395182,3.2930818493212684
bf16-base,bf16-overlap,1,memory_ops,0.008950102,0.009246702,0.00029660000000000103,-3.313928712767744,0.9679236986333072,0.19487028379209073,0.2088629874034063,0.013992703611315577
bf16-base,bf16-overlap,1,other,0.13157438500000002,0.140399647,0.008825261999999973,-6.70743169348651,0.9371418505062198,2.864764864659621,3.171324187024054,0.30655932236443295
bf16-base,bf16-overlap,1,pointwise,0.075545392,0.077240567,0.0016951749999999932,-2.243915816864117,0.9780533071436414,1.644847397071535,1.7446972523125501,0.0998498552410152
bf16-base,bf16-overlap,1,rdma_barrier,0.330481288,0.268474876,-0.06200641200000001,18.76245774011871,1.2309579686704093,7.195558484197797,6.064266442686168,-1.131292041511629
bf16-base,bf16-overlap,1,rdma_other,0.0,0.0,0.0,,,0.0,0.0,0.0
bf16-base,bf16-overlap,1,sage_quantization,0.052268645999999995,0.052249026999999997,-1.96189999999985e-05,0.03753493059681645,1.0003754902459714,1.1380435529615558,1.1801924478739811,0.04214889491242535
bf16-base,bf16-overlap,1,vsa,0.660177205,0.6626716269999999,0.0024944219999999406,-0.37784127975153403,0.9962358098666567,14.374017110801558,14.968317967064989,0.5943008562634304
bf16-base,bf16-overlap,2,attention_other,0.000137185,0.00013564799999999999,-1.5370000000000227e-06,1.120384881729064,1.0113307973578676,0.002986924605107066,0.0030639947643275687,7.70701592205025e-05
bf16-base,bf16-overlap,2,communication_other,0.003717449,0.003286888,-0.0004305609999999999,11.582162929471252,1.1309935111874818,0.08093989784838473,0.07424368676966202,-0.006696211078722716
bf16-base,bf16-overlap,2,concurrent_mixed,0.0,0.040328249999999996,0.040328249999999996,,0.0,0.0,0.910927893183042,0.910927893183042
bf16-base,bf16-overlap,2,idle,0.667810936,0.47740861,-0.19040232599999996,28.51141179874298,1.3988246588179463,14.540226091030217,10.78362734050559,-3.7565987505246277
bf16-base,bf16-overlap,2,layout_copy,0.19900469,0.170888292,-0.028116398000000015,14.128510237623049,1.1645308620674846,4.332922732752882,3.8599966971343536,-0.47292603561852875
bf16-base,bf16-overlap,2,linear_gemm,2.4641491369999997,2.504827632,0.040678495000000314,-1.6508130286921219,0.9837599623701371,53.65184012799244,56.57863551243677,2.9267953844443255
bf16-base,bf16-overlap,2,memory_ops,0.009028268,0.009005111,-2.315700000000108e-05,0.256494379652894,1.002571539651205,0.19657218960309628,0.20340596954019668,0.006833779937100409
bf16-base,bf16-overlap,2,other,0.13175984,0.139965697,0.00820585700000001,-6.227889317412649,0.9413723706887981,2.868802770426579,3.1615221956347233,0.2927194252081442
bf16-base,bf16-overlap,2,pointwise,0.07574305599999999,0.077221625,0.001478569000000013,-1.9520852182146164,0.9808529152293802,1.6491511290039174,1.7442693935249094,0.09511826452099204
bf16-base,bf16-overlap,2,rdma_barrier,0.330211205,0.290947162,-0.039264043000000026,11.890584694120243,1.1349524866649157,7.189677975701087,6.571866751179265,-0.6178112245218212
bf16-base,bf16-overlap,2,rdma_other,0.0,0.0,0.0,,,0.0,0.0,0.0
bf16-base,bf16-overlap,2,sage_quantization,0.052237372,0.052251418,1.4046000000003667e-05,-0.026888795247970165,0.9997311843288157,1.1373626251625975,1.1802464553896208,0.042883830227023356
bf16-base,bf16-overlap,2,vsa,0.659051976,0.660895279,0.0018433030000000183,-0.27969008016448527,0.9972109000342851,14.349517535873687,14.928194109937543,0.5786765740638558
bf16-base,bf16-overlap,3,attention_other,0.00013689599999999998,0.000138752,1.856000000000004e-06,-1.3557737260402103,0.9866236162361623,0.002980632217376076,0.00313410740696493,0.0001534751895888543
bf16-base,bf16-overlap,3,communication_other,0.0021096,0.0014011199999999998,-0.0007084800000000003,33.583617747440286,1.5056526207605347,0.045932253139438474,0.031648268637905784,-0.01428398450153269
bf16-base,bf16-overlap,3,concurrent_mixed,0.0,0.027240189999999997,0.027240189999999997,,0.0,0.0,0.6152969416378288,0.6152969416378288
bf16-base,bf16-overlap,3,idle,0.669235949,0.479227374,-0.19000857500000007,28.391866169759517,1.3964894021266825,14.571252853375208,10.82470928328062,-3.7465435700945875
bf16-base,bf16-overlap,3,layout_copy,0.199065723,0.177690572,-0.02137515100000001,10.737735597001807,1.1202942326056557,4.3342516023043896,4.013645481528448,-0.32060612077594186
bf16-base,bf16-overlap,3,linear_gemm,2.5761505860000002,2.6347337189999998,0.05858313299999951,-2.2740570104235136,0.9777650649940312,56.09044408488091,59.5129328881613,3.4224888032803946
bf16-base,bf16-overlap,3,memory_ops,0.0078848,0.010765888,0.0028810879999999987,-36.53977272727271,0.732387333028172,0.17167549751319894,0.24317811147482457,0.07150261396162563
bf16-base,bf16-overlap,3,other,0.131662746,0.142278941,0.010616194999999995,-8.063173010230251,0.9253846358049573,2.8666887458786454,3.2137733715061856,0.34708462562754017
bf16-base,bf16-overlap,3,pointwise,0.075525119,0.077398845,0.0018737259999999922,-2.4809308807576924,0.9757912924928015,1.6444059936927449,1.748272409803322,0.10386641611057712
bf16-base,bf16-overlap,3,rdma_barrier,0.20697538599999998,0.13208898,-0.07488640599999999,36.181309984366926,1.5669390890897938,4.506468441119165,2.9836042045984383,-1.5228642365207268
bf16-base,bf16-overlap,3,rdma_other,0.0,0.0,0.0,,,0.0,0.0,0.0
bf16-base,bf16-overlap,3,sage_quantization,0.052398784,0.052241244,-0.00015753999999999768,0.3006558320131969,1.0030156249724833,1.1408770434616793,1.180016646747162,0.039139603285482716
bf16-base,bf16-overlap,3,vsa,0.6717055249999999,0.691955987,0.020250462000000136,-3.0147827055613696,0.9707344652254593,14.625022852417244,15.629788285216998,1.0047654327997542
bf16-base,bf16-overlap,4,attention_other,0.000132128,0.000134336,2.208000000000017e-06,-1.671106805521938,0.9835636017151023,0.002876818706298695,0.003034359523625179,0.00015754081732648412
bf16-base,bf16-overlap,4,communication_other,0.00288839,0.002241252,-0.0006471379999999998,22.404799905829886,1.2887395080963675,0.0628888228315428,0.050625032389262595,-0.012263790442280209
bf16-base,bf16-overlap,4,concurrent_mixed,0.0,0.040534845,0.040534845,,0.0,0.0,0.9155944271410529,0.9155944271410529
bf16-base,bf16-overlap,4,idle,0.6591594780000001,0.479435995,-0.17972348300000007,27.26555393625093,1.3748643924826713,14.351858173471808,10.829421580194168,-3.5224365932776394
bf16-base,bf16-overlap,4,layout_copy,0.196203262,0.168715154,-0.027488107999999983,14.010015796781195,1.1629261352539795,4.271927330758234,3.810910212599666,-0.46101711815856783
bf16-base,bf16-overlap,4,linear_gemm,2.5213812520000003,2.5792201439999998,0.057838891999999476,-2.2939367838211933,0.9775750464206985,54.897953132299165,58.25900136577169,3.3610482334725233
bf16-base,bf16-overlap,4,memory_ops,0.008823308,0.009122033,0.0002987249999999997,-3.3856349568665234,0.9672523657829346,0.19210960209671626,0.20604698448943815,0.013937382392721881
bf16-base,bf16-overlap,4,other,0.12863196600000001,0.13626972699999998,0.007637760999999965,-5.937685038569618,0.9439511535823363,2.800699670143934,3.0780382317789217,0.2773385616349877
bf16-base,bf16-overlap,4,pointwise,0.07563716100000001,0.07724355699999999,0.0016063959999999822,-2.12381847594727,0.9792034952507432,1.6468454805652557,1.7447647899418948,0.09791930937663906
bf16-base,bf16-overlap,4,rdma_barrier,0.285537653,0.207113891,-0.07842376200000001,27.465296144323215,1.3786504208933046,6.217002160806382,4.678254582769453,-1.5387475780369293
bf16-base,bf16-overlap,4,rdma_other,0.0,0.0,0.0,,,0.0,0.0,0.0
bf16-base,bf16-overlap,4,sage_quantization,0.052051484,0.052195102,0.00014361799999999814,-0.2759152841828705,0.997248439135151,1.133315291700527,1.1789743988230081,0.045659107122481224
bf16-base,bf16-overlap,4,vsa,0.662405032,0.674935576,0.012530543999999977,-1.8916740354713912,0.9814344591608845,14.422523516620139,15.24533403457782,0.8228105179576808
bf16-base,bf16-overlap,5,attention_other,0.00012928,0.00013292799999999998,3.647999999999976e-06,-2.821782178217802,0.9725565719788157,0.002814809293641736,0.003002555850676273,0.0001877465570345369
bf16-base,bf16-overlap,5,communication_other,0.004513922,0.0034013140000000003,-0.0011126079999999997,24.64836565629622,1.3271112281900463,0.09828147893234755,0.07682832248049408,-0.021453156451853472
bf16-base,bf16-overlap,5,concurrent_mixed,0.0,0.040762801,0.040762801,,0.0,0.0,0.9207434598617494,0.9207434598617494
bf16-base,bf16-overlap,5,idle,0.65969147,0.471861808,-0.18782966199999995,28.472349657636165,1.398060743242013,14.36344121822539,10.658337087153077,-3.7051041310723125
