mode,metric,physical_gpu,window,sample_count,max_mhz,mean_mhz,first_timestamp_ns,last_timestamp_ns
bf16-overlap,sys,6,timestamps_inside_fine_vsa_kernels,2650,2359.622,2168.7479841509435,3922385378,21701146093
bf16-overlap,sys,7,full_capture,28212,1798.563,1731.3245043004395,-85251544,31385586657
bf16-overlap,sys,7,timestamps_inside_fine_vsa_kernels,3207,1796.859,1786.8242712815716,3922630295,21704292373
fp8-base,gpc,0,full_capture,24335,2377.5322,2259.683592892747,-192382789,25976170073
fp8-base,gpc,0,timestamps_inside_fine_vsa_kernels,2636,2377.4136,2369.16977245827,3535525730,17376123112
fp8-base,gpc,1,full_capture,24431,2377.558306,2273.9312575688264,-162545317,26244464548
fp8-base,gpc,1,timestamps_inside_fine_vsa_kernels,2646,2377.3851,2368.485982010582,3523476713,17376776425
fp8-base,gpc,2,full_capture,24052,2377.5532,2283.333480856561,-248487869,25574828391
fp8-base,gpc,2,timestamps_inside_fine_vsa_kernels,2635,2377.5394,2370.938989297913,3526799151,17376067261
fp8-base,gpc,3,full_capture,24104,2377.5151,2265.621161878443,-221280606,25758813514
fp8-base,gpc,3,timestamps_inside_fine_vsa_kernels,2654,2377.4587,2360.1457850037677,3516203421,17376684769
fp8-base,gpc,4,full_capture,24899,2586.4929,2357.047595057593,-39767452,26936524955
fp8-base,gpc,4,timestamps_inside_fine_vsa_kernels,2617,2546.8127,2395.5889275124186,3531024849,17375842758
fp8-base,gpc,5,full_capture,25007,2585.1091,2385.2557965627225,921670,27114151885
fp8-base,gpc,5,timestamps_inside_fine_vsa_kernels,2581,2543.3601,2423.416029910887,3522988250,17375612673
fp8-base,gpc,6,full_capture,24732,2635.0371,2423.2363922631002,-130152434,26489699442
fp8-base,gpc,6,timestamps_inside_fine_vsa_kernels,2570,2593.042035,2439.214618418288,3530821794,17375826218
fp8-base,gpc,7,full_capture,23652,1950.0654,1945.8673900214358,-84527887,26704518092
fp8-base,gpc,7,timestamps_inside_fine_vsa_kernels,3205,1950.0528,1948.1921045553822,3517267378,17379828382
fp8-base,sys,0,full_capture,24335,2167.425,2002.4586396777481,-192382789,25976170073
fp8-base,sys,0,timestamps_inside_fine_vsa_kernels,2636,2165.192,2142.8650519726857,3535525730,17376123112
fp8-base,sys,1,full_capture,24431,2167.473,2017.750749599034,-162545317,26244464548
fp8-base,sys,1,timestamps_inside_fine_vsa_kernels,2646,2165.774,2160.280038170824,3523476713,17376776425
