mode,physical_gpu,phase,seconds,share_percent
bf16-overlap,0,other,0.140686716,3.1778084544883787
bf16-overlap,0,concurrent_mixed,0.035395326,0.799503815357893
bf16-overlap,0,idle,0.43749953399999997,9.882167680848603
bf16-overlap,0,sage_quantization,0.052275472999999996,1.1807898057822246
bf16-overlap,4,linear_gemm,2.5792201439999998,58.25900136577169
bf16-overlap,4,vsa,0.674935576,15.24533403457782
bf16-overlap,4,rdma_barrier,0.207113891,4.678254582769453
bf16-overlap,4,rdma_other,0.0,0.0
bf16-overlap,4,pointwise,0.07724355699999999,1.7447647899418948
bf16-overlap,4,attention_other,0.000134336,0.003034359523625179
bf16-overlap,4,communication_other,0.002241252,0.050625032389262595
bf16-overlap,4,layout_copy,0.168715154,3.810910212599666
bf16-overlap,4,memory_ops,0.009122033,0.20604698448943815
bf16-overlap,4,other,0.13626972699999998,3.0780382317789217
bf16-overlap,4,concurrent_mixed,0.040534845,0.9155944271410529
bf16-overlap,4,idle,0.479435995,10.829421580194168
bf16-overlap,4,sage_quantization,0.052195102,1.1789743988230081
bf16-overlap,1,linear_gemm,2.5252754669999997,57.04050785395182
bf16-overlap,1,vsa,0.6626716269999999,14.968317967064989
bf16-overlap,1,rdma_barrier,0.268474876,6.064266442686168
bf16-overlap,1,rdma_other,0.0,0.0
bf16-overlap,1,pointwise,0.077240567,1.7446972523125501
bf16-overlap,1,attention_other,0.000134784,0.003044478874108922
bf16-overlap,1,communication_other,0.0028803899999999996,0.06506177665149125
bf16-overlap,1,layout_copy,0.176500492,3.986764149779134
bf16-overlap,1,memory_ops,0.009246702,0.2088629874034063
bf16-overlap,1,other,0.140399647,3.171324187024054
bf16-overlap,1,concurrent_mixed,0.031657493,0.715074256927759
bf16-overlap,1,idle,0.48043054,10.851886199450538
bf16-overlap,1,sage_quantization,0.052249026999999997,1.1801924478739811
bf16-overlap,5,linear_gemm,2.5164217,56.84052041784825
bf16-overlap,5,vsa,0.6600176870000001,14.908371205853328
