world_size,communication,formal_sample_count,mean_s,sample_sd_s,min_s,max_s,mean_per_forward_s,speedup_vs_one_gpu,parallel_efficiency_pct,denoise_loop_mean_s,peak_allocated_gib
1,none,4,89.6286002502311,0.022437500963901832,89.60598224401474,89.65489318128675,22.407150062557776,1.0,100.0,89.6390850036405,49.502280712127686
2,NCCL P2P/CUMEM,2,58.24857609439641,0.000844828310044807,58.24797871056944,58.24917347822338,14.562144023599103,1.538726030057471,76.93630150287355,58.259980536065996,39.407203674316406
4,NCCL GPUDirect RDMA,2,28.321212828159332,0.013688354677691967,28.31153369974345,28.330891956575215,7.080303207039833,3.1647161720812607,79.11790430203152,28.332207292318344,31.78817367553711
8,NCCL GPUDirect RDMA,2,16.072180641349405,0.0029869570321346796,16.07006854377687,16.07429273892194,4.018045160337351,5.576629721273838,69.70787151592297,16.08248509792611,27.982327461242676
